ACC-X,ACC-Y,ACC-Z,GYRO-X,GYRO-Y,GYRO-Z,TEST
0.314,-0.209,1.313,162.631,-18.691,8.144,1
0.216,-0.362,0.685,206.526,-7.541,-15.309,1
0.228,-0.560,0.772,189.555,-28.114,-2.391,1
0.299,-0.457,0.841,164.936,-16.245,9.388,1
0.218,-0.436,0.808,109.343,-10.311,-11.060,1
0.215,-0.592,0.733,113.359,-2.938,-22.217,1
0.206,-0.713,0.709,168.288,-19.806,1.167,1
0.242,-0.521,0.841,159.244,-43.939,11.011,1
0.197,-0.682,0.674,154.739,-17.792,-12.615,1
0.255,-0.699,0.701,133.508,-18.043,-6.536,1
0.205,-0.690,0.625,122.927,-11.605,-12.200,1
0.185,-0.857,0.584,159.558,-16.029,-18.245,1
0.147,-0.876,0.536,249.653,-35.091,-2.736,1
0.157,-0.821,0.587,276.087,-36.386,8.006,1
0.170,-0.851,0.450,272.002,-13.404,-1.355,1
0.191,-0.847,0.358,248.186,-15.418,-0.836,1
0.160,-0.925,0.291,211.380,-7.253,-9.575,1
0.166,-0.880,0.219,179.672,0.947,-13.616,1
0.171,-0.911,0.152,180.511,-4.736,-34.790,1
0.111,-1.014,0.108,184.526,2.745,-22.908,1
0.123,-1.010,0.051,200.031,0.659,-17.485,1
0.118,-0.988,-0.032,266.100,3.752,-6.985,1
0.138,-0.953,-0.140,282.059,5.047,-9.782,1
0.141,-0.947,-0.243,276.157,2.709,-9.679,1
0.153,-0.947,-0.351,234.672,5.479,-11.440,1
0.124,-0.909,-0.318,195.387,5.982,-10.335,1
0.129,-0.766,-0.379,238.862,6.090,-11.751,1
0.116,-0.882,-0.490,282.373,11.233,-18.176,1
0.092,-0.833,-0.617,275.354,12.456,-12.684,1
0.111,-0.746,-0.673,254.611,11.053,-13.789,1
0.109,-0.732,-0.762,228.910,16.880,-10.888,1
0.081,-0.690,-0.835,199.263,16.736,-7.019,1
0.120,-0.555,-0.855,220.983,8.967,-1.527,1
0.089,-0.516,-0.844,223.462,8.176,-12.442,1
0.076,-0.558,-0.847,200.415,7.780,-12.580,1
