ACC-X,ACC-Y,ACC-Z,GYRO-X,GYRO-Y,GYRO-Z,TEST
0.114,0.316,1.193,47.918,50.580,-3.807,1
0.047,-0.010,0.812,7.411,54.860,-13.029,1
0.032,0.017,0.772,3.884,-1.031,2.065,1
0.026,0.110,1.089,-11.935,-15.454,1.374,1
0.020,0.027,1.042,25.325,9.507,8.317,1
0.019,-0.015,0.995,51.934,14.470,12.116,1
0.046,0.003,0.970,32.623,25.008,22.720,1
-0.094,0.151,0.923,-43.433,6.234,8.869,1
0.038,0.151,0.973,-49.230,-1.283,-17.692,1
0.053,0.079,0.696,-275.757,-31.423,-19.315,1
0.052,0.138,0.775,-563.884,-67.965,1.029,1
-0.057,0.458,0.585,-770.682,-68.900,39.403,1
0.032,0.874,1.102,-1061.323,-63.685,76.499,1
0.053,0.840,0.622,-1031.640,114.888,105.513,1
0.149,1.541,0.518,-1062.440,149.452,96.982,1
0.191,1.210,0.478,-1024.971,237.785,55.153,1
0.061,1.602,-0.620,-849.985,213.795,57.226,1
-0.134,0.747,-0.788,-652.546,194.841,-8.643,1
-0.106,0.068,-0.685,-521.072,109.781,69.902,1
-0.152,0.395,-0.315,-483.812,93.236,87.000,1
-0.215,-0.088,-0.059,-337.391,100.286,53.565,1
-0.376,0.031,-0.391,-230.047,138.014,59.920,1
-0.630,-0.125,-0.869,-195.231,139.453,53.634,1
-0.800,0.309,-1.199,-163.558,128.375,57.399,1
-0.688,0.248,-1.001,-165.758,82.447,13.740,1
-0.682,-0.076,-1.092,-156.120,78.706,5.243,1
-0.716,-0.156,-1.197,-109.118,47.955,11.045,1
-0.610,0.111,-0.942,-74.721,29.288,15.467,1
-0.628,0.022,-1.216,-49.125,24.469,2.445,1
-0.499,0.172,-0.892,-53.525,12.096,-10.749,1
-0.452,0.012,-0.906,-63.163,6.414,-8.573,1
-0.457,0.062,-0.947,-51.395,-6.642,-6.536,1
-0.404,-0.014,-0.815,-29.150,-11.210,-10.577,1
-0.422,-0.070,-0.947,0.357,-21.496,-6.536,1
-0.386,0.050,-0.923,-5.998,-3.513,-8.435,1
-0.436,0.017,-0.975,20.611,-9.160,-16.829,1
-0.459,-0.020,-0.935,34.579,-9.016,-20.144,1
-0.430,0.171,-0.911,57.626,-4.340,-24.600,1
-0.462,0.053,-0.996,91.045,-17.036,-36.102,1
-0.392,0.154,-0.862,101.521,-20.201,-25.982,1
-0.475,0.188,-1.004,187.285,-34.084,-42.596,1
-0.500,0.089,-1.034,274.097,-66.166,-16.483,1
-0.383,0.325,-0.815,299.623,-75.985,-18.176,1
-0.278,0.242,-0.428,181.698,-52.643,-34.237,1
-0.342,0.362,-0.961,105.432,-9.052,-29.263,1
-0.351,0.562,-0.846,130.051,-15.094,-39.694,1
