ACC-X,ACC-Y,ACC-Z,GYRO-X,GYRO-Y,GYRO-Z,TEST
-0.652,0.153,-1.290,219.062,-531.642,-72.715,1
-1.110,-0.042,-0.857,347.255,-719.063,-157.615,1
-1.568,0.284,-1.267,122.473,-662.739,-237.161,1
-2.429,-0.288,-0.681,50.049,-708.093,-280.544,1
-2.873,-1.460,0.794,-185.244,-672.918,-269.077,1
-2.998,-2.449,5.262,65.833,-572.068,-63.216,1
-1.739,-0.423,1.520,26.128,-57.606,15.328,1
-1.067,-0.349,0.493,-39.941,-93.105,-26.776,1
-0.776,-0.090,-0.725,-140.232,-70.266,-40.938,1
-0.926,-0.091,-0.400,-154.095,-134.502,-23.978,1
-1.173,0.106,0.455,-105.626,-122.382,-18.521,1
-1.163,-0.067,0.653,-68.610,-60.160,-42.837,1
-0.945,-0.535,0.437,-64.071,-1.607,-43.563,1
-0.867,-0.521,0.131,-45.144,17.959,-3.254,1
-0.807,-0.271,-0.198,26.722,22.239,24.378,1
-0.906,0.049,-0.026,28.223,3.393,24.654,1
-1.059,0.089,0.195,17.433,7.385,0.269,1
-1.047,-0.205,0.187,4.652,23.030,-20.490,1
-1.006,-0.360,0.051,-2.192,37.057,-14.376,1
-0.978,-0.285,-0.099,3.186,30.151,2.549,1
-0.995,-0.244,-0.064,2.941,19.074,0.752,1
-1.048,-0.262,0.102,9.332,17.635,-3.012,1
-1.019,-0.229,0.091,10.274,25.656,-2.184,1
-0.990,-0.260,0.019,2.871,30.008,-3.945,1
-0.958,-0.400,-0.002,-5.335,22.563,0.407,1
-0.980,-0.206,-0.011,-12.179,15.154,10.182,1
-1.052,-0.063,0.133,-12.633,13.283,1.858,1
-1.114,-0.125,0.326,-16.998,22.383,-11.578,1
-1.092,-0.314,0.365,-8.443,45.869,-11.268,1
-1.032,-0.257,0.155,-16.195,61.083,-7.952,1
-0.975,-0.280,-0.035,-4.846,50.077,-0.318,1
-0.959,-0.145,-0.014,6.782,37.165,-0.007,1
-1.002,-0.113,0.161,12.439,27.886,-8.021,1
-1.024,-0.150,0.323,3.360,32.849,-18.417,1
-1.017,-0.348,0.369,6.957,55.040,-13.478,1
-0.947,-0.354,0.241,-5.649,70.218,-2.045,1
-0.907,-0.196,0.032,-9.700,69.894,1.236,1
-0.913,0.046,0.041,-11.725,56.515,-6.985,1
-0.955,-0.138,0.355,-16.824,45.221,-26.293,1
-0.957,-0.317,0.483,-25.205,62.305,-25.153,1
-0.934,-0.320,0.429,-23.773,80.864,-1.700,1
-0.918,-0.132,0.143,-24.122,88.561,4.379,1
-0.872,-0.164,0.097,-35.122,67.377,-7.537,1
-0.894,-0.095,0.238,-32.712,48.746,-14.100,1
-0.931,-0.229,0.429,-27.160,51.480,-17.278,1
-0.968,-0.200,0.560,-2.821,65.938,-3.254,1
-0.956,-0.155,0.493,-4.043,80.828,-3.807,1
-0.904,-0.135,0.331,-8.897,86.043,-6.777,1
-0.828,-0.265,0.218,-19.547,69.247,-9.541,1
-0.810,-0.141,0.272,-4.357,54.681,5.415,1
-0.861,-0.089,0.447,-7.884,45.761,4.690,1
-0.919,-0.017,0.647,-12.528,47.523,-4.256,1
-0.945,-0.036,0.687,-20.246,60.471,-20.075,1
-0.889,-0.224,0.533,-6.836,76.188,-19.730,1
-0.802,-0.299,0.349,3.221,64.751,-8.090,1
-0.765,-0.129,0.374,-22.551,56.515,-3.945,1
-0.821,-0.123,0.653,-39.801,43.783,-8.263,1
-0.860,-0.062,0.801,-42.001,56.767,-9.161,1
-0.862,-0.019,0.757,-40.430,74.498,-18.038,1
-0.751,-0.263,0.417,-0.900,85.108,-11.095,1
-0.694,-0.144,0.401,7.097,63.348,6.348,1
-0.721,-0.011,0.503,1.929,44.934,8.110,1
-0.758,0.003,0.732,-3.973,42.776,-1.596,1
-0.776,-0.027,0.875,-5.684,53.566,-8.504,1
-0.774,-0.075,0.802,-1.389,74.678,-3.738,1
-0.700,-0.136,0.582,-0.621,78.023,-4.498,1
-0.649,-0.158,0.523,-15.427,58.961,0.027,1
-0.676,-0.023,0.704,-18.186,45.401,2.618,1
-0.718,0.063,0.899,-17.871,50.365,-3.047,1
-0.728,-0.068,0.968,-15.497,69.139,-11.924,1
-0.667,-0.165,0.752,0.427,82.267,-6.536,1
-0.605,-0.101,0.590,8.494,69.103,4.103,1
-0.609,0.055,0.691,8.214,51.839,2.065,1
-0.621,-0.014,0.903,-4.427,45.725,-10.335,1
-0.647,-0.097,1.038,-14.135,55.975,-16.690,1
-0.634,-0.175,1.019,-1.040,72.987,-1.493,1
-0.593,-0.054,0.857,10.728,88.201,4.034,1
-0.535,-0.020,0.725,14.989,85.468,-0.491,1
-0.504,0.017,0.826,14.535,80.324,-11.993,1
-0.513,-0.028,0.869,22.462,79.569,-24.704,1
-0.477,-0.073,0.910,-2.157,71.333,-9.782,1
-0.450,-0.124,0.968,-8.757,83.094,-3.600,1
-0.415,-0.037,0.848,-6.243,99.459,7.660,1
-0.364,0.105,0.752,0.776,96.365,-5.016,1
-0.341,0.069,0.675,-19.652,73.167,-13.444,1
-0.336,-0.009,0.892,-36.344,46.552,-21.422,1
-0.352,-0.059,1.003,-49.823,57.702,-19.074,1
-0.318,-0.067,0.945,-29.884,69.463,-14.791,1
-0.283,0.022,0.827,-6.906,72.772,-7.434,1
-0.267,0.156,0.694,-3.205,49.358,-11.199,1
-0.265,0.048,0.786,-15.497,18.462,-20.455,1
-0.284,-0.096,1.140,-32.992,6.054,-20.317,1
-0.298,-0.125,1.190,5.770,36.338,-6.536,1
-0.265,-0.035,0.999,30.808,53.458,1.098,1
-0.206,0.003,0.773,35.557,59.104,7.730,1
-0.188,0.216,0.693,19.947,33.460,1.478,1
-0.211,0.005,0.935,-8.967,5.587,-16.000,1
-0.227,-0.160,1.180,-14.903,9.075,-4.636,1
-0.222,-0.131,1.186,-2.506,35.403,4.552,1
-0.191,-0.073,0.983,24.941,50.688,11.736,1
-0.184,0.074,0.821,22.357,43.099,13.601,1
-0.146,0.227,0.736,0.392,11.629,-3.358,1
-0.158,-0.138,0.976,-17.138,-7.361,-2.909,1
-0.179,-0.103,1.139,-0.062,1.235,2.756,1
-0.190,0.018,1.024,9.017,15.154,10.735,1
-0.166,0.004,0.962,11.776,17.779,1.892,1
-0.173,0.046,0.879,6.782,16.161,2.376,1
-0.165,0.057,0.945,3.221,1.594,-7.261,1
-0.182,-0.038,1.050,-5.125,-0.132,-2.978,1
-0.190,-0.007,1.075,-1.389,7.457,-4.878,1
-0.168,-0.031,1.034,4.862,16.628,-0.733,1
-0.151,-0.006,0.931,12.509,20.800,-2.011,1
-0.153,-0.007,0.969,17.433,17.024,-8.021,1
-0.135,-0.042,0.980,10.449,21.340,-9.022,1
-0.129,0.015,0.900,32.484,9.363,4.828,1
-0.133,0.022,0.971,6.992,9.795,-1.424,1
-0.123,-0.070,0.958,3.814,13.139,1.340,1
-0.140,-0.067,1.040,9.646,12.060,-1.009,1
-0.124,-0.028,0.983,13.033,21.987,0.096,1
-0.125,-0.095,1.011,2.767,18.714,-7.295,1
-0.103,-0.095,1.007,-0.516,19.937,8.179,1
-0.083,-0.019,0.881,3.989,18.966,8.386,1
-0.101,-0.020,0.945,2.871,4.472,4.586,1
-0.105,-0.018,1.073,-11.830,4.256,-2.667,1
-0.104,-0.140,1.010,1.195,18.247,5.035,1
-0.093,-0.002,0.995,8.843,15.154,8.697,1
-0.084,-0.017,0.946,3.151,14.398,3.274,1
-0.069,0.051,1.022,-11.271,7.637,-1.596,1
-0.055,-0.113,0.947,-0.970,19.793,1.271,1
-0.053,0.001,0.887,3.814,4.364,2.583,1
-0.059,-0.032,0.964,1.509,-3.909,0.614,1
-0.091,-0.031,1.031,-4.113,-6.822,7.281,1
-0.078,0.011,1.046,-12.005,0.012,-0.422,1
-0.071,-0.122,0.986,3.814,4.723,1.478,1
-0.048,0.034,0.895,13.976,-0.312,6.452,1
-0.063,-0.045,0.884,9.995,-12.433,4.552,1
-0.098,0.035,1.090,-0.551,-21.280,6.175,1
-0.105,-0.107,1.139,-7.640,-5.024,-9.472,1
-0.114,-0.119,1.074,9.820,7.780,2.721,1
-0.102,-0.064,1.016,3.116,8.536,2.341,1
-0.076,-0.068,0.969,-3.449,11.449,0.787,1
-0.065,-0.043,0.915,3.779,6.486,2.583,1
-0.061,-0.005,0.947,2.941,-2.722,3.205,1
-0.060,-0.044,0.987,-6.348,-1.894,0.787,1
-0.070,-0.016,0.943,-4.113,-0.887,3.585,1
-0.069,-0.029,0.983,-6.906,-3.945,1.685,1
-0.072,-0.076,1.003,-5.370,-1.930,-3.220,1
-0.075,-0.050,0.969,5.874,-0.492,1.616,1
-0.089,0.073,0.953,2.348,-5.707,4.448,1
-0.090,-0.111,1.046,-9.525,-6.318,-5.741,1
-0.100,-0.062,1.064,2.627,1.127,2.514,1
-0.088,-0.041,1.017,9.087,6.665,1.858,1
-0.090,-0.022,0.922,2.697,0.983,4.241,1
-0.070,-0.011,0.992,-9.281,-2.074,-1.147,1
-0.068,-0.093,0.972,-1.843,0.587,2.894,1
-0.094,0.034,0.971,6.049,0.371,2.998,1
-0.081,-0.081,1.014,4.478,-3.801,-5.638,1
-0.084,-0.027,0.979,2.662,2.637,1.340,1
-0.088,-0.022,0.965,-2.786,-0.600,-0.215,1
-0.084,-0.066,0.984,-1.633,-2.650,0.511,1
-0.098,-0.027,1.083,-0.656,-6.282,4.759,1
-0.097,-0.068,1.043,-2.192,4.220,-2.494,1
-0.096,-0.008,0.988,-8.059,3.321,-1.562,1
-0.083,-0.068,1.012,0.741,6.234,0.891,1
-0.081,-0.018,0.918,8.319,4.939,5.692,1
-0.085,0.020,0.977,-3.659,-3.189,-1.389,1
-0.084,-0.060,0.991,-8.233,-0.420,-1.562,1
-0.086,-0.049,1.013,-4.148,1.055,0.131,1
-0.083,-0.044,0.968,3.360,2.493,-1.251,1
-0.084,-0.069,0.969,5.909,0.803,1.305,1
-0.085,-0.020,0.975,-0.900,-0.132,1.512,1
-0.081,-0.019,0.986,-1.598,0.731,1.340,1
-0.088,-0.042,0.989,5.141,-1.067,-0.249,1
-0.089,-0.014,1.010,-0.341,0.120,-0.491,1
-0.099,-0.058,0.981,4.408,-0.492,1.961,1
-0.093,-0.012,1.011,0.671,0.443,-2.598,1
-0.080,-0.108,1.000,2.103,5.011,-0.664,1
-0.092,0.013,0.967,8.633,0.983,5.588,1
-0.082,0.010,0.999,-3.833,-0.564,-2.494,1
-0.080,-0.096,1.004,-1.878,3.932,-1.527,1
-0.076,-0.017,0.990,4.792,3.608,1.858,1
-0.065,-0.016,0.941,2.348,1.630,1.616,1
-0.072,-0.087,0.976,0.567,-4.196,0.822,1
-0.094,-0.001,1.042,-3.240,-2.470,3.792,1
-0.090,-0.086,1.066,-4.951,6.306,-4.152,1
-0.078,-0.063,0.968,7.132,6.773,5.001,1
-0.069,0.017,0.945,1.824,2.098,3.723,1
-0.070,-0.048,0.950,-3.205,-2.434,-1.251,1
-0.085,-0.031,1.002,6.887,-3.261,3.723,1
-0.099,0.023,1.038,-1.214,-1.283,2.376,1
-0.086,-0.084,1.013,-2.890,3.644,-1.665,1
-0.079,-0.036,0.946,3.744,3.393,5.277,1
-0.066,-0.001,0.926,-9.840,-1.715,-1.838,1
-0.072,-0.088,1.000,-6.208,-3.837,-0.871,1
-0.081,-0.055,1.036,5.665,0.479,0.822,1
-0.081,-0.047,1.001,3.221,3.141,3.827,1
-0.083,-0.021,0.964,-7.430,-0.492,2.549,1
-0.069,-0.037,0.963,-2.681,-0.636,0.200,1
-0.065,-0.050,0.921,-5.475,-2.002,-1.458,1
-0.082,-0.008,0.973,-3.729,-8.404,0.994,1
-0.316,-0.029,-1.460,100.543,-457.336,-81.523,2
-1.355,-0.629,-1.211,91.813,-696.872,-93.128,2
-2.316,0.334,-0.421,-57.785,-760.208,-101.141,2
-2.712,-0.482,0.941,-299.852,-773.372,-112.263,2
-2.896,-1.308,3.652,-80.763,-665.365,42.684,2
-1.764,0.613,1.650,54.833,-253.263,74.634,2
-1.339,0.332,0.722,-19.792,-236.719,-19.523,2
-1.174,0.017,0.224,-67.179,-183.129,-66.290,2
-1.214,-0.161,0.633,-19.093,-153.744,-56.135,2
-1.131,-0.343,0.746,-30.687,-92.673,-41.698,2
-1.008,-0.191,0.455,-33.795,-32.178,-36.551,2
-0.873,-0.164,0.092,-43.573,-6.031,-21.802,2
-0.780,0.006,-0.122,-17.767,-7.973,-14.791,2
-0.715,-0.059,-0.196,9.157,-9.951,-15.309,2
-0.748,-0.150,0.008,5.909,-23.007,-0.422,2
