ACC-X,ACC-Y,ACC-Z,GYRO-X,GYRO-Y,GYRO-Z,TEST
0.065,-1.561,0.416,-11.586,-92.745,109.796,1
-0.015,-3.109,1.185,-38.684,-118.138,316.382,1
-1.031,-3.224,0.605,-121.445,-73.396,698.812,1
-1.666,-1.151,0.177,-163.768,-38.976,825.299,1
-2.312,-1.215,0.009,-104.264,-60.735,797.770,1
-2.647,-0.207,0.672,-145.924,-56.455,790.931,1
-1.957,1.889,1.664,-205.323,41.409,722.196,1
-2.155,3.942,0.172,-92.426,-0.096,598.093,1
-1.174,3.533,1.707,-61.487,-178.237,156.909,1
-0.824,1.097,1.578,-3.763,-67.713,4.206,1
-0.355,-0.702,1.501,1.614,14.578,-13.651,1
-0.233,-0.329,0.651,-11.341,91.942,67.450,1
-0.149,0.603,0.624,-13.681,84.928,58.504,1
-0.107,0.607,0.598,-23.528,46.840,-3.185,1
-0.126,0.309,0.822,-5.894,13.715,-22.735,1
-0.191,-0.035,0.995,2.627,5.479,-27.294,1
-0.168,-0.180,0.937,8.738,13.139,-10.819,1
-0.179,-0.004,0.960,-1.913,23.138,0.856,1
-0.006,0.036,1.246,7.132,32.885,12.427,1
-0.041,0.846,0.191,24.801,32.381,0.649,1
-0.275,0.210,1.085,-9.246,-72.352,-24.497,1
-0.335,0.028,1.327,-1.040,-52.391,-40.316,1
-0.239,-0.208,1.332,13.801,-21.388,-1.009,1
-0.139,-0.050,0.960,12.614,24.721,-2.460,1
-0.088,0.194,0.665,1.859,5.155,7.073,1
-0.157,0.275,0.878,-10.852,-20.777,-10.853,1
-0.238,0.147,1.093,-5.963,-23.510,-16.587,1
-0.265,0.070,1.103,-2.017,-9.447,-16.069,1
-0.212,0.222,1.116,-1.319,6.989,-3.427,1
-0.178,0.206,0.854,2.767,7.169,-13.789,1
-0.158,0.141,0.896,-2.052,-7.110,-20.041,1
-0.183,0.171,0.946,-3.379,-11.210,-18.072,1
-0.212,0.156,0.985,3.221,-10.994,-24.531,1
