ACC-X,ACC-Y,ACC-Z,GYRO-X,GYRO-Y,GYRO-Z,TEST
0.178,0.548,0.962,17.817,-7.721,-17.347,1
0.186,0.688,1.1,34.893,-2.29,-49.366,1
0.18,0.816,1.116,36.465,10.334,-81.626,1
0.276,1.08,1.078,49.49,30.08,-136.787,1
0.135,1.298,1.007,57.801,51.659,-200.03,1
-0.064,1.414,0.856,80.953,63.348,-304.998,1
-0.395,0.649,0.505,109.972,72.556,-403.818,1
-0.534,-0.295,0.52,113.429,48.063,-389.38,1
-0.481,0.153,0.631,153.552,21.52,-342.302,1
-0.676,0.277,0.553,171.257,20.225,-398.534,1
-0.834,-0.001,0.745,173.946,40.366,-435.803,1
-0.871,-1.101,0.624,126.559,53.961,-416.08,1
-0.768,-1.365,0.663,62.62,61.442,-299.541,1
-0.709,0.336,1.075,70.442,94.243,-268.524,1
-0.843,-1.071,0.953,36.43,139.777,-319.678,1
-0.685,-1.167,0.64,23.998,142.582,-254.051,1
-0.519,-1.375,0.364,2.871,81.871,-223.103,1
-0.379,-1.236,0.644,-26.252,1.522,-89.467,1
-0.317,-1.026,0.993,-53.35,-31.171,-63.216,1
-0.387,-1.033,0.97,-56.737,-27.898,-10.439,1
-0.121,-0.093,1.232,-54.398,-15.13,33.013,1
-0.121,-0.721,1.059,-32.398,-3.297,-59.52,1
-0.121,-0.692,1.115,-10.538,-34.192,-11.924,1
-0.103,-0.782,1.324,8.424,-45.45,-4.187,1
-0.14,-0.736,1.412,15.897,-29.553,23.549,1
-0.091,-0.584,1.535,7.062,3.285,34.636,1
-0.095,-0.627,1.264,9.786,39.826,44.239,1
-0.177,-0.712,0.96,14.325,52.019,55.222,1
-0.232,-0.894,0.722,16.525,38.568,79.124,1
-0.214,-0.614,0.713,20.785,2.961,125.754,1
-0.165,-0.412,0.765,15.303,-13.835,123.509,1
-0.114,-0.403,0.8,3.709,-7.11,113.665,1
-0.124,-0.648,0.715,-9.525,-25.488,119.537,1
-0.147,-0.683,0.81,-7.989,-28.366,138.534,1
-0.144,-0.61,0.918,-12.319,-19.698,157.393,1
-0.072,-0.165,0.963,-7.779,-14.698,159.396,1
-0.018,-0.284,0.937,-15.811,-12.505,138.119,1
0.049,-0.323,0.93,-24.471,-16.245,135.978,1
0.022,-0.482,0.871,-24.751,-8.8,139.225,1
-0.013,-0.466,0.83,-19.862,-0.024,156.944,1
0.003,-0.232,0.758,-14.728,-13.476,163.23,1
0.08,-0.057,0.837,-11.725,-22.575,144.716,1
0.118,-0.155,0.922,-11.935,-22.215,123.923,1
0.091,-0.382,0.937,-17.347,-14.267,117.706,1
0.063,-0.482,0.83,-22.097,-11.318,130.797,1
0.078,-0.21,0.792,-15.881,-19.374,150.416,1
0.112,0.115,0.813,3.884,-33.185,133.215,1
0.136,-0.089,0.835,12.579,-45.63,105.306,1
0.107,-0.255,0.949,-0.551,-48.831,103.372,1
0.072,-0.363,1.006,-12.389,-40.091,109.796,1
0.05,-0.299,1.044,-17.871,-29.337,127.066,1
0.093,0.054,0.974,-13.506,-16.245,120.607,1
0.129,0.063,0.963,-5.754,-21.928,98.191,1
0.171,-0.015,0.899,-5.859,-23.438,83.753,1
0.126,-0.198,0.926,-13.925,-20.093,73.218,1
0.087,-0.326,0.938,-14.519,-21.244,78.365,1
0.195,-0.108,0.921,-16.719,-16.317,88.796,1
