ACC-X,ACC-Y,ACC-Z,GYRO-X,GYRO-Y,GYRO-Z,TEST
-0.102,-0.622,2.646,8.738,71.657,17.781,1
-0.217,-0.470,4.025,-30.198,337.412,59.678,1
-0.723,-0.328,4.603,-106.289,718.691,63.201,1
-1.534,-0.009,2.878,-138.381,1084.108,76.188,1
-1.616,0.222,0.710,-71.893,1173.592,110.142,1
-0.906,0.284,-1.435,58.395,862.592,38.781,1
-0.697,-0.651,-2.308,-85.826,661.972,53.634,1
-0.713,0.860,-3.614,97.540,110.932,98.294,1
0.375,0.770,-0.094,-17.697,56.011,-6.639,1
0.918,0.419,-0.842,-62.255,61.766,-65.081,1
0.932,0.243,0.404,-70.880,-120.332,-87.118,1
1.081,-0.218,0.403,-74.686,15.945,-43.252,1
1.123,0.501,-0.185,-34.598,-8.009,-11.855,1
0.871,-0.248,0.301,-34.598,-26.567,-77.032,1
0.887,-0.626,0.021,-28.941,22.527,-10.404,1
1.004,-0.144,-0.173,-59.322,-0.923,53.046,1
1.009,0.406,0.358,-8.792,-31.495,47.762,1
1.141,0.693,0.242,-5.405,19.218,-5.016,1
0.955,0.231,-0.037,-26.636,14.470,-57.344,1
0.955,-0.014,-0.028,-5.614,-10.958,-43.010,1
0.940,-0.302,0.160,14.989,-25.021,-16.241,1
0.954,-0.068,0.103,0.182,-4.160,44.239,1
1.027,0.248,0.071,-3.310,1.271,37.572,1
1.059,0.374,-0.097,20.471,-4.160,23.860,1
1.050,0.458,0.014,8.074,-44.011,-27.778,1
0.990,-0.260,0.363,-9.630,-31.099,-46.568,1
0.975,-0.116,0.158,-0.132,14.470,23.480,1
1.003,0.216,-0.042,6.678,3.680,24.378,1
0.996,0.219,-0.010,11.147,-14.195,4.068,1
0.973,0.043,0.117,-0.202,-14.123,-8.435,1
0.914,-0.240,0.147,-12.843,1.990,-0.111,1
0.936,-0.090,0.038,-0.237,7.421,39.714,1
1.048,0.302,0.085,6.468,-3.909,35.465,1
1.082,0.431,0.111,0.776,-6.498,-10.128,1
1.037,0.175,0.109,1.021,-8.368,-40.869,1
0.938,-0.166,0.148,-2.960,3.393,-25.187,1
0.902,-0.137,-0.006,-1.459,7.960,19.473,1
0.931,0.099,-0.020,-0.306,-5.671,31.562,1
