ACC-X-Ring1,ACC-Y-Ring1,ACC-Z-Ring1,GYRO-X-Ring1,GYRO-Y-Ring1,GYRO-Z-Ring1,ACC-X-Ring2,ACC-Y-Ring2,ACC-Z-Ring2,GYRO-X-Ring2,GYRO-Y-Ring2,GYRO-Z-Ring2,TEST
-5.81,-11.14,17.66,6.05,-27.39,1.03,-8.97,15.85,10.72,4.39,-8.3,35.79,1
-3.59,-8.4,21.19,14.75,-13.13,-7.13,-6.1,14.97,10.54,21.0,3.91,48.24,1
-3.44,-10.56,19.95,5.66,21.73,-7.03,-4.95,19.19,9.15,42.43,9.08,23.68,1
-4.12,-8.14,20.01,43.65,33.5,-1.46,-4.37,18.43,6.6,7.71,0.63,-14.36,1
-4.45,-3.71,21.62,33.11,-6.01,20.26,-3.05,16.65,8.05,15.62,-17.19,7.96,1
-5.89,-5.31,14.89,-21.97,-32.67,0.78,-4.34,16.59,4.4,-17.14,0.39,-33.11,1
3.63,-6.42,30.32,30.18,-33.01,-7.62,-5.96,18.9,6.62,-0.24,0.88,0.63,1
-4.32,-4.39,20.1,8.79,-31.35,-5.27,-4.22,18.22,6.67,13.53,4.15,13.77,1
-2.02,-4.3,21.85,1.56,29.93,5.47,-4.32,21.07,3.48,83.94,21.29,19.68,1
-5.5,-6.58,21.43,52.05,128.17,1.76,-2.75,21.29,-0.91,40.53,17.97,15.28,1
-10.94,-0.31,16.71,33.89,32.18,22.22,-1.95,18.73,-3.01,39.16,-2.44,0.2,1
-8.8,1.61,21.29,7.91,2.44,1.46,-1.69,18.6,-2.87,8.79,-1.56,0.93,1
-10.51,2.98,18.34,7.57,4.1,2.49,-1.46,21.21,-2.5,-11.28,-2.2,-1.42,1
-10.91,2.77,19.86,-0.0,-11.91,-6.01,-3.22,17.6,-2.95,-3.17,-2.44,-3.47,1
-10.33,0.95,19.72,-10.35,-13.18,-6.64,-3.11,17.9,-2.4,9.86,-0.68,2.0,1
-10.67,-0.28,18.82,10.01,7.42,2.25,-1.94,21.47,-3.37,-1.03,3.42,-0.05,1
-10.04,0.6,19.34,25.24,0.29,11.38,-2.52,22.19,-2.15,-123.93,29.88,-21.48,1
-11.75,6.36,19.03,-68.9,-1.61,-23.83,-4.77,19.1,5.2,-124.66,15.63,-29.15,1
-7.57,-8.41,18.89,-134.62,-22.75,-64.21,-4.8,21.9,10.97,-154.39,10.45,-32.13,1
-6.1,-14.88,15.01,-115.72,-22.9,-49.56,-7.18,8.77,12.79,-234.13,18.16,-45.12,1
-4.92,-13.54,18.4,-163.53,-42.53,-57.91,-7.03,-14.91,16.87,-57.13,4.39,-11.96,2
-2.57,-21.44,7.47,-128.27,-23.0,-48.68,-6.28,-16.57,15.3,-37.79,9.08,-15.92,2
2.36,-26.78,4.27,-101.32,-10.5,-35.99,-7.11,-14.9,14.61,-15.82,9.72,-7.76,2
0.68,-20.86,-4.37,-114.7,-46.09,-50.05,-7.42,-15.47,14.02,-9.28,0.34,1.03,2
4.9,-22.78,-9.07,-94.78,-40.09,-44.53,-7.8,-15.04,14.17,0.2,-2.54,1.9,2
4.73,-20.62,-9.8,-45.07,-11.67,-15.58,-7.57,-14.12,14.83,7.71,-2.88,3.96,2
5.68,-17.98,-12.94,-34.38,0.59,-11.13,-7.68,-12.62,15.59,53.66,2.73,9.13,2
5.63,-15.37,-12.77,-21.97,-4.3,-1.61,-8.79,-3.81,17.93,98.24,2.69,22.75,2
