ACC-X-Ring1,ACC-Y-Ring1,ACC-Z-Ring1,GYRO-X-Ring1,GYRO-Y-Ring1,GYRO-Z-Ring1,ACC-X-Ring2,ACC-Y-Ring2,ACC-Z-Ring2,GYRO-X-Ring2,GYRO-Y-Ring2,GYRO-Z-Ring2,TEST
-3.03,11.57,15.64,81.69,17.48,54.79,-1.23,11.19,-15.13,97.51,-6.05,2.83,1
-2.01,14.46,11.3,35.94,-5.52,27.15,-2.1,6.52,-15.77,42.68,-13.28,0.15,1
0.09,14.0,14.46,14.11,-29.88,14.6,0.73,11.43,-16.79,22.46,7.28,9.08,1
-1.18,15.62,12.09,6.49,-5.62,5.22,0.08,8.49,-17.72,4.0,8.01,3.96,1
-0.69,16.9,11.6,-11.62,-5.32,-8.25,-0.02,9.78,-16.89,-32.47,6.84,-4.74,1
-1.39,19.85,11.36,-111.57,10.3,-47.56,-1.85,11.39,-16.65,-142.72,23.63,-7.18,1
-1.34,12.71,18.92,-136.72,-12.99,-63.38,0.71,19.98,-9.26,-134.08,-1.81,-41.36,1
-3.33,1.07,20.12,-105.13,5.86,-34.03,-2.97,16.1,-5.46,-93.31,-10.99,-30.52,1
-2.99,1.1,20.02,-103.71,-9.81,-22.95,-3.82,18.01,-2.09,-106.3,-8.89,-23.0,1
-2.22,-5.67,20.09,-73.63,-13.33,-18.21,-4.09,19.43,3.95,-72.71,-16.8,-17.09,1
-2.96,-9.53,18.5,-47.36,-2.93,-8.79,-4.29,20.54,7.35,-48.44,-6.69,-12.01,1
-0.22,-14.24,19.08,-44.58,-6.45,-2.69,-4.45,19.54,10.46,-43.12,3.56,-4.93,1
-1.1,-16.27,14.85,-51.17,-6.25,3.56,-6.27,12.17,10.58,-36.18,1.9,-8.4,1
-1.2,-16.11,15.92,-0.78,4.79,3.91,-6.13,15.17,11.95,-2.78,4.69,-11.08,1
-1.19,-14.82,16.13,-5.13,3.81,-0.63,-6.54,16.01,11.62,-2.88,0.68,-9.33,1
-2.42,-15.43,14.86,14.7,4.88,4.49,-7.33,15.31,11.34,15.82,1.27,-7.81,1
-1.78,-15.52,15.33,-1.12,-5.81,0.34,-7.16,15.43,11.25,-1.56,2.64,1.27,1
-1.33,-16.28,15.19,-1.47,1.07,-0.2,-7.02,14.94,11.93,0.49,-1.37,-1.61,1
-1.68,-15.76,15.21,-0.63,1.66,0.1,-7.25,15.11,11.52,0.05,-0.88,-1.71,1
-1.74,-16.13,14.86,-0.63,-2.49,-0.1,-7.22,14.53,11.99,0.49,-0.54,0.78,1
-1.5,-17.16,15.62,33.3,6.1,19.24,-6.62,13.35,10.88,23.0,-2.1,14.36,2
-2.96,-13.41,17.71,85.89,6.05,32.71,-4.94,16.88,9.01,73.1,3.27,32.96,2
-4.48,-4.77,18.16,159.33,13.77,40.28,-3.06,18.49,0.65,155.57,-5.42,37.99,2
-4.74,1.74,20.23,109.62,-1.81,24.9,-2.54,18.05,-5.91,110.06,-4.1,23.68,2
-4.17,5.7,19.61,68.16,-3.12,17.19,-1.48,16.24,-9.76,71.29,-5.52,6.4,2
-3.44,7.87,19.54,76.81,7.28,30.86,0.5,17.12,-10.98,82.47,-5.18,1.51,2
-4.85,15.51,12.72,50.44,10.79,35.84,-1.62,11.71,-15.39,56.01,-7.23,-12.55,2
-3.76,14.9,12.64,19.14,-6.98,15.28,-2.73,9.67,-17.5,25.59,-12.11,-7.28,2
-2.53,13.87,13.47,11.08,-7.71,8.15,-1.34,10.32,-15.14,13.48,-6.15,4.1,2
-1.67,14.57,15.0,2.39,-9.81,6.4,-1.86,11.1,-16.59,4.3,5.32,1.66,2
-2.96,14.47,13.36,-39.21,6.05,-31.1,-1.95,9.24,-15.78,-46.63,13.48,-4.93,2
-3.61,12.85,17.4,-66.26,-9.86,-54.0,-1.79,14.93,-15.86,-49.85,7.91,-16.7,2
-5.31,3.25,20.16,-74.07,4.3,-40.28,-4.44,12.87,-11.07,-58.74,-9.57,-19.73,2
-6.83,1.72,17.91,-100.59,0.1,-33.11,-4.5,13.54,-9.45,-89.16,-1.9,-21.53,2
-4.71,-1.94,20.81,-78.37,-17.82,-24.95,-3.72,17.46,-4.82,-74.61,-2.93,-4.1,2
-3.88,-3.21,21.61,-53.81,-15.82,-16.6,-3.67,20.61,-1.39,-60.01,-8.69,-3.96,2
-3.83,-7.38,19.69,-51.66,-13.57,-11.47,-3.68,20.71,2.68,-50.24,-1.46,-8.01,2
-2.93,-9.19,18.78,-56.59,-15.33,-6.25,-4.61,20.14,4.63,-61.82,-2.29,-6.88,2
-2.07,-14.3,17.21,-33.74,-8.25,-5.52,-5.51,16.58,7.07,-28.37,-3.52,-5.37,2
-2.2,-12.54,17.43,4.44,1.22,3.22,-5.33,19.03,7.94,2.93,-1.42,1.32,2
-3.64,-10.05,19.27,38.38,6.05,14.5,-3.22,17.98,1.84,57.47,4.39,23.39,3
-3.42,-8.02,20.45,68.46,3.86,34.23,-1.89,19.97,-2.67,78.12,10.25,26.51,3
-3.54,2.4,20.95,78.12,0.49,34.77,-1.31,17.79,-7.41,98.68,0.34,23.83,3
-5.08,6.88,18.34,100.1,0.49,38.23,-0.17,16.42,-11.34,88.62,-2.29,15.23,3
-3.61,11.04,18.78,95.95,-16.31,25.59,1.43,16.21,-14.24,83.45,-9.62,6.93,3
-1.75,12.85,18.1,74.8,3.71,38.96,-0.18,10.47,-18.16,42.38,5.91,21.63,3
1.53,12.98,17.26,32.47,-12.16,26.66,0.07,10.58,-16.82,24.17,-4.54,13.23,3
-0.55,15.63,14.75,13.23,-11.23,14.36,0.09,9.81,-15.38,6.45,-3.86,8.64,3
-1.06,15.11,14.29,-1.66,-7.76,0.15,0.44,9.39,-16.17,-16.5,-7.28,-1.22,3
-0.9,12.41,15.46,-11.28,2.98,-9.67,0.95,15.57,-16.67,-48.54,14.5,-14.55,3
-0.53,19.38,15.0,-47.22,3.81,-20.61,0.39,10.84,-13.24,-57.62,-14.79,-2.25,3
-3.63,0.97,17.92,-64.45,4.3,-81.49,-0.88,13.53,-12.29,-102.64,12.11,-29.74,3
-5.38,1.98,18.35,-107.57,8.11,-42.43,0.17,20.73,-7.01,-123.73,-1.07,-27.29,3
-5.36,5.85,17.91,-121.29,-6.2,-29.25,-1.3,21.27,-0.13,-114.99,-4.25,-7.42,3
-3.81,-4.92,19.28,-120.65,-27.54,-19.34,-2.72,19.49,3.72,-39.55,1.61,-3.42,3
-2.64,-9.01,19.43,-35.64,-6.79,-4.64,-3.1,20.1,5.59,-46.83,5.42,0.29,3
-2.7,-10.04,18.79,-51.86,-16.16,-1.32,-3.11,18.03,9.45,-51.03,0.0,-3.03,3
-0.91,-13.77,16.79,-51.27,-10.4,-0.78,-4.49,12.68,12.33,-57.76,-4.54,-12.11,3
0.83,-19.97,13.57,-58.84,-4.35,-6.25,-6.26,12.51,11.92,-10.45,-1.22,-24.95,3
-3.54,-17.5,10.05,-22.02,10.21,-0.54,-5.78,14.45,13.49,-2.34,0.24,-16.85,3
-2.58,-20.07,12.51,73.73,7.67,28.42,-4.18,16.99,9.84,97.12,6.84,30.57,4
-4.35,-15.28,16.61,111.77,8.01,37.16,-1.78,19.72,0.36,158.64,-6.79,29.98,4
-5.42,-1.73,17.99,169.19,8.54,42.53,-1.8,18.32,-7.21,117.24,-2.0,17.58,4
-5.24,7.27,18.88,93.07,-9.47,27.98,-0.65,17.16,-9.5,58.84,3.17,12.65,4
-3.58,5.47,20.31,55.13,-15.77,15.63,0.53,16.63,-11.05,73.19,-0.68,6.84,4
-3.76,9.82,17.67,59.08,-10.45,38.82,-0.0,13.66,-15.07,43.75,7.52,3.52,4
-2.66,14.32,16.0,16.65,4.05,27.69,1.56,14.14,-15.57,34.72,6.25,10.06,4
-0.24,10.68,18.95,24.17,-11.04,20.12,-0.25,8.31,-15.35,27.0,-8.69,-5.96,4
-1.94,13.6,13.48,23.63,-6.49,19.09,-0.59,8.75,-17.37,17.82,-7.37,-0.34,4
-1.23,16.67,12.27,6.93,-11.67,8.11,0.59,10.15,-16.86,-4.93,0.63,2.83,4
-0.48,13.34,15.33,-2.93,0.83,-4.05,0.54,9.95,-16.47,-12.7,1.66,-0.34,4
-0.12,16.02,14.7,-16.89,2.44,-5.91,0.23,11.99,-16.57,-35.6,9.62,-11.23,4
-1.2,14.76,15.39,-30.52,22.75,-28.91,-1.08,11.89,-16.84,-65.28,17.53,-18.85,4
-4.02,10.6,17.7,-42.72,10.74,-43.31,-1.51,13.03,-12.41,-65.28,8.54,-27.1,4
-6.17,6.84,18.27,-56.88,3.96,-52.25,-1.2,15.63,-7.66,-86.08,8.54,-25.73,4
-6.83,0.95,19.17,-68.12,-9.86,-40.62,-1.36,19.84,-4.53,-87.89,-1.03,-31.45,4
-6.24,-2.81,21.04,-81.79,-15.87,-28.56,-3.01,20.61,-0.58,-81.25,-5.91,-23.14,4
-5.75,-3.49,20.02,-81.05,-17.63,-19.04,-4.55,17.24,3.66,-57.52,-11.52,-17.19,4
-4.62,-11.39,18.28,-42.33,-7.42,-17.38,-5.45,19.89,5.26,-8.84,-6.64,-9.72,4
-4.58,-10.67,17.71,-11.43,1.71,-6.84,-5.84,19.17,5.44,-2.0,-1.76,4.15,4
-4.76,-6.7,19.88,39.89,16.55,8.06,-4.23,22.35,-0.99,58.89,-2.88,16.26,5
-6.32,-0.76,19.73,66.55,19.38,22.8,-3.1,20.68,-4.09,72.22,-5.18,21.44,5
-5.52,0.56,21.43,72.51,18.41,32.28,-1.61,19.12,-7.98,95.36,-7.18,18.21,5
-6.42,6.77,18.57,98.14,4.83,32.08,-2.73,15.83,-13.25,24.22,0.24,9.13,5
-5.8,12.53,18.76,31.64,-4.69,36.96,-0.58,15.88,-11.06,30.42,0.2,6.4,5
-5.03,5.73,19.95,27.73,0.15,18.41,-0.78,13.31,-13.44,57.91,8.45,-2.78,5
-4.48,8.92,17.81,53.17,3.56,44.87,-0.37,11.2,-16.88,34.91,12.99,1.56,5
-3.66,15.41,14.66,39.36,-4.0,50.78,-0.29,8.08,-15.66,28.27,-7.57,-0.44,5
-3.41,15.24,11.25,21.34,-10.69,26.9,1.44,8.58,-14.61,5.47,-24.07,4.83,5
-0.42,14.85,13.81,-3.61,-35.21,2.59,-0.1,9.3,-16.21,0.39,-17.33,8.79,5
-1.31,15.16,12.0,1.32,-2.54,2.69,-1.18,9.28,-17.65,-9.13,8.45,6.64,5
-1.03,14.83,13.09,-10.35,-3.76,-0.2,-1.25,8.02,-17.37,-35.21,12.89,-8.11,5
-1.27,14.48,13.67,-34.62,22.75,-24.46,-0.44,12.31,-16.16,-28.08,-10.01,-4.79,5
-2.84,12.32,15.68,-16.16,2.83,-35.5,-1.35,11.25,-15.43,-62.6,17.43,-22.36,5
-4.2,9.48,15.94,-46.39,2.49,-42.43,-2.16,14.66,-12.34,-82.96,10.4,-23.78,5
-4.27,8.3,18.47,-68.6,3.17,-42.29,-1.76,18.46,-7.98,-83.11,17.68,-33.45,5
-5.85,4.76,18.77,-59.38,-26.17,-31.49,-2.16,22.42,-3.49,-68.85,18.31,-27.05,5
-5.32,0.98,20.09,-53.37,-25.05,-12.6,-4.37,20.06,-1.37,-54.54,4.0,-11.96,5
-3.79,-3.19,21.17,-59.57,-10.21,-7.08,-5.62,19.27,1.71,-62.35,1.9,-12.01,5
-3.18,-6.94,19.98,-74.95,-5.52,-7.32,-6.64,16.79,5.65,-68.07,0.59,-12.11,5
-4.33,-18.42,11.55,-1.47,-1.56,-0.83,-6.25,15.46,11.76,-3.27,-1.66,4.0,6
-3.77,-18.0,11.94,-1.32,-5.62,-2.83,-6.85,15.23,11.83,-0.83,3.42,-7.42,6
-3.87,-18.31,11.7,-2.88,1.56,6.4,-7.47,15.05,11.23,5.66,-2.88,-0.24,6
-4.53,-17.96,11.52,7.23,2.25,0.98,-6.49,16.36,11.42,-2.59,-0.98,3.37,6
-4.73,-17.36,11.95,0.49,-2.78,-2.88,-6.69,14.46,11.97,1.12,0.29,-1.61,6
-3.58,-18.68,11.33,0.05,-1.12,3.03,-6.83,15.81,11.38,2.1,-2.1,2.34,6
-4.61,-17.51,11.89,5.18,-0.39,-1.27,-6.57,15.32,11.82,-1.61,-2.1,-0.93,6
-3.62,-18.0,12.06,-2.3,-0.05,-0.44,-6.58,15.57,11.39,1.22,-3.47,-2.05,6
-3.93,-17.85,12.02,2.15,2.93,-0.68,-6.54,15.58,11.58,-1.37,-0.68,2.59,6
-4.09,-17.93,12.13,-0.54,-3.96,-0.73,-6.45,15.78,11.62,-2.78,-2.39,1.86,6
-3.55,-17.79,12.2,0.05,-4.79,-2.73,-6.4,14.8,11.74,1.76,-1.22,1.42,6
-3.49,-19.01,11.66,0.24,-0.39,2.1,-6.32,16.27,11.82,8.15,-1.03,-2.93,6
-5.86,-16.26,12.29,10.6,20.31,14.7,-7.8,14.44,10.5,49.07,1.61,10.84,6
-4.83,-21.02,12.91,46.14,15.48,31.93,-4.52,18.61,5.32,118.9,-8.01,16.26,6
-7.76,-12.71,14.55,131.74,17.43,29.88,-4.72,16.97,-0.21,100.24,-6.54,19.34,6
-8.34,-8.09,17.48,101.42,7.57,38.82,-3.33,17.0,-5.72,106.64,-28.66,11.13,6
-9.1,0.87,17.76,125.93,26.22,39.11,-2.89,15.24,-8.18,86.38,-23.58,6.25,6
-8.27,0.34,19.36,71.04,-4.25,27.25,-3.25,14.86,-12.65,65.67,-34.72,0.15,6
-6.56,9.69,17.48,58.64,-17.68,37.16,-4.1,13.81,-15.77,35.06,-26.27,0.78,6
-5.37,11.7,15.99,39.65,0.54,32.91,-5.11,11.17,-15.61,21.29,-15.62,-3.47,6
-3.63,-17.01,12.97,-0.24,-4.88,0.44,-6.61,15.37,11.64,1.61,-0.2,0.93,7
-3.24,-17.91,12.68,-0.98,-7.81,-2.0,-6.51,15.58,11.52,2.59,-1.27,2.2,7
-2.79,-17.8,13.08,0.68,-7.37,-1.9,-6.46,15.48,11.41,-0.88,0.1,0.39,7
-2.58,-17.59,12.96,1.32,-2.83,-0.54,-6.36,15.7,11.46,1.76,-0.39,1.56,7
-2.55,-17.6,12.91,3.27,-2.73,-0.54,-6.36,15.71,11.38,0.44,-1.07,0.63,7
-2.48,-17.45,13.08,-0.24,-2.49,-0.73,-6.31,15.52,11.21,9.03,-3.47,5.91,7
