ACC-X-Ring1,ACC-Y-Ring1,ACC-Z-Ring1,GYRO-X-Ring1,GYRO-Y-Ring1,GYRO-Z-Ring1,ACC-X-Ring2,ACC-Y-Ring2,ACC-Z-Ring2,GYRO-X-Ring2,GYRO-Y-Ring2,GYRO-Z-Ring2,TEST
0.05,-8.0,20.12,0.24,-0.73,-0.34,2.34,18.29,6.07,1.03,-2.0,-0.39,1
0.01,-7.66,20.09,1.66,1.42,0.39,2.44,18.47,5.82,1.22,-1.27,-0.15,1
0.09,-8.01,19.91,1.71,-0.34,0.54,2.5,18.38,6.08,0.83,-0.49,0.78,1
0.11,-7.84,20.26,0.2,-0.29,1.9,2.45,18.47,5.93,-0.78,1.66,-0.2,1
0.06,-7.88,20.14,-2.05,-0.78,2.15,2.28,18.58,6.04,-3.17,2.25,0.54,1
0.16,-8.07,20.2,-3.47,-1.81,1.71,2.38,18.28,6.16,-3.52,2.44,-0.39,1
-0.06,-8.1,20.61,-5.27,7.86,2.88,2.17,18.65,6.24,-1.17,1.95,-0.1,1
-1.52,-8.2,20.36,1.07,28.56,11.52,1.95,19.63,5.64,5.57,2.69,-5.66,1
-3.03,-8.0,19.27,4.64,11.67,7.08,1.58,18.42,5.58,4.64,1.32,-6.25,1
-2.55,-8.65,20.72,6.64,0.29,2.83,1.31,19.04,5.49,4.64,2.59,-3.56,1
-3.64,-7.75,19.67,8.54,4.35,2.59,1.09,19.05,5.07,5.47,2.49,-2.25,1
-3.85,-7.25,19.95,9.91,5.57,0.88,1.26,19.18,5.2,7.18,-1.12,-3.56,1
-3.66,-6.74,20.51,11.91,-5.37,-2.34,1.3,19.16,5.02,5.27,10.84,-13.48,1
-3.62,-7.12,20.68,4.69,-1.03,0.24,-0.18,18.99,4.18,1.46,18.07,-5.18,1
-3.5,-6.76,20.31,2.1,-2.0,-1.66,-0.1,19.11,4.66,-1.12,-0.59,-1.12,1
-3.46,-6.25,20.54,-2.0,-3.56,-1.07,-0.08,19.19,4.39,-4.2,-2.54,2.83,1
-3.41,-6.12,20.01,-2.78,-6.01,-0.54,-0.2,18.48,4.16,-6.05,-0.68,2.83,1
-3.1,-6.84,19.68,0.2,1.61,2.1,-0.05,17.84,4.41,-1.42,1.42,-2.49,1
-3.28,-6.73,20.66,-2.1,1.17,1.22,-0.0,19.11,4.73,-1.86,1.76,-2.59,1
-3.0,-6.76,20.89,2.0,-3.22,2.34,-0.07,19.54,4.69,-0.39,3.42,2.69,1
11.84,-1.86,14.63,-1.07,-46.83,-4.79,-4.72,18.34,5.66,3.66,-7.23,-3.91,2
14.86,-1.49,13.4,8.2,-35.3,-3.17,-4.66,18.14,5.62,-0.93,-7.03,1.51,2
16.21,-1.4,12.43,0.1,-13.62,-0.63,-4.73,18.42,5.23,0.59,-3.22,-0.34,2
15.4,-1.59,11.61,-1.66,-2.59,1.66,-4.38,18.78,5.97,5.57,8.89,-1.61,2
19.18,-2.17,16.2,4.69,89.84,5.47,-6.54,16.22,2.64,-16.46,18.26,-6.4,2
9.77,-2.36,16.86,-18.21,178.42,24.76,-5.03,16.92,5.74,-4.39,2.44,12.7,2
3.03,-4.47,20.38,-60.89,143.16,-24.27,-4.76,15.48,5.67,-4.3,-1.12,17.58,2
-4.97,-6.99,17.89,-54.98,83.94,-22.02,-2.03,20.72,6.23,2.44,-13.53,6.49,2
-6.03,-8.28,18.3,4.2,-4.79,0.0,-2.53,17.6,4.41,-4.25,-33.01,22.56,2
-4.87,-9.1,18.43,2.59,-15.53,0.88,0.81,20.89,6.62,6.93,-16.89,43.31,2
-4.93,-7.91,20.84,0.98,-15.92,5.52,1.44,20.3,5.47,-1.12,-5.76,0.73,2
-4.38,-8.71,19.3,-6.05,-0.59,-3.08,1.6,20.59,5.48,2.88,-4.2,1.07,2
-4.31,-8.49,19.63,1.07,-2.93,1.03,1.4,18.68,5.35,-3.22,-0.29,2.34,2
-3.97,-8.96,19.65,-4.69,-0.49,0.1,1.73,19.38,5.47,-1.17,0.0,3.52,2
-3.62,-8.51,20.19,1.42,-4.44,0.68,1.51,18.4,5.37,-0.39,0.39,1.07,2
-3.65,-8.87,19.44,2.69,-3.47,0.44,1.67,18.6,5.44,-2.88,0.49,0.98,2
-3.34,-8.96,19.65,1.61,-8.06,0.05,1.71,18.76,5.56,-2.0,0.34,2.49,2
