GESTURE,ACC-X-MIN-Ring1,ACC-Y-MIN-Ring1,ACC-Z-MIN-Ring1,GYRO-X-MIN-Ring1,GYRO-Y-MIN-Ring1,GYRO-Z-MIN-Ring1,ACC-X-MIN-Ring2,ACC-Y-MIN-Ring2,ACC-Z-MIN-Ring2,GYRO-X-MIN-Ring2,GYRO-Y-MIN-Ring2,GYRO-Z-MIN-Ring2,ACC-X-MAX-Ring1,ACC-Y-MAX-Ring1,ACC-Z-MAX-Ring1,GYRO-X-MAX-Ring1,GYRO-Y-MAX-Ring1,GYRO-Z-MAX-Ring1,ACC-X-MAX-Ring2,ACC-Y-MAX-Ring2,ACC-Z-MAX-Ring2,GYRO-X-MAX-Ring2,GYRO-Y-MAX-Ring2,GYRO-Z-MAX-Ring2,ACC-X-MEAN-Ring1,ACC-Y-MEAN-Ring1,ACC-Z-MEAN-Ring1,GYRO-X-MEAN-Ring1,GYRO-Y-MEAN-Ring1,GYRO-Z-MEAN-Ring1,ACC-X-MEAN-Ring2,ACC-Y-MEAN-Ring2,ACC-Z-MEAN-Ring2,GYRO-X-MEAN-Ring2,GYRO-Y-MEAN-Ring2,GYRO-Z-MEAN-Ring2,ACC-X-VAR-Ring1,ACC-Y-VAR-Ring1,ACC-Z-VAR-Ring1,GYRO-X-VAR-Ring1,GYRO-Y-VAR-Ring1,GYRO-Z-VAR-Ring1,ACC-X-VAR-Ring2,ACC-Y-VAR-Ring2,ACC-Z-VAR-Ring2,GYRO-X-VAR-Ring2,GYRO-Y-VAR-Ring2,GYRO-Z-VAR-Ring2,ACC-X-SKEW-Ring1,ACC-Y-SKEW-Ring1,ACC-Z-SKEW-Ring1,GYRO-X-SKEW-Ring1,GYRO-Y-SKEW-Ring1,GYRO-Z-SKEW-Ring1,ACC-X-SKEW-Ring2,ACC-Y-SKEW-Ring2,ACC-Z-SKEW-Ring2,GYRO-X-SKEW-Ring2,GYRO-Y-SKEW-Ring2,GYRO-Z-SKEW-Ring2,ACC-X-KURT-Ring1,ACC-Y-KURT-Ring1,ACC-Z-KURT-Ring1,GYRO-X-KURT-Ring1,GYRO-Y-KURT-Ring1,GYRO-Z-KURT-Ring1,ACC-X-KURT-Ring2,ACC-Y-KURT-Ring2,ACC-Z-KURT-Ring2,GYRO-X-KURT-Ring2,GYRO-Y-KURT-Ring2,GYRO-Z-KURT-Ring2
up,-11.86,-4.31,16.81,-8.35,-136.08,-7.37,0.45,17.44,5.28,-2.3,-3.08,-6.74,4.82,2.81,22.99,25.29,39.36,34.52,1.67,20.34,6.26,8.74,0.78,5.32,-0.7945,-1.5105,20.3545,2.308,-10.815499999999998,3.2885000000000004,1.305,18.917,5.501499999999999,-0.08850000000000004,-0.5185,0.08900000000000001,40.847364750000004,2.8639447499999995,2.5421547500000004,70.514976,1689.49773475,120.16153275000003,0.083025,0.35706099999999996,0.06820274999999999,6.28585275,1.4332927500000001,9.243299,-0.9842900439644924,0.09912661549171528,-0.888907834319269,1.4073564123196107,-2.2397784641415455,2.33921476467767,-1.4992452836795074,0.03355658968255408,1.9507428362569126,2.526107784744967,-0.8803977022852663,-0.5652521831635248,-0.940434535751622,0.9828210575052676,0.05833773651790519,1.698137932990373,4.918224587403516,4.858185633788066,2.948250048106951,1.7089406383905015,3.4875201357214065,7.182935562190064,-0.4138293904481043,0.41365300367878666
up,-0.69,-3.34,12.67,-15.33,-82.57,-47.66,-6.85,16.78,2.92,-12.3,-25.15,-17.68,19.38,3.0,21.6,47.8,223.0,11.33,-3.39,21.06,7.55,9.47,14.65,18.16,3.688,-1.258,19.667,-0.08300000000000063,10.024500000000005,-3.4964999999999997,-4.394,18.702000000000005,5.526,-1.1989999999999998,-2.693,1.9114999999999995,42.77439600000001,1.6950759999999998,7.281510999999999,157.816821,3481.241934750001,164.21396274999998,1.230054,1.0488859999999993,0.8557340000000002,26.813949000000008,81.502551,51.571242749999996,1.448918439004689,1.8821033105294287,-1.691236017628953,2.7605113197519637,2.4444212717818172,-2.3799378917858904,-1.1867763162036433,0.2624603580532989,-0.8131562502879464,-0.15245794296104992,-1.1489535352453053,-0.3189288920696591,0.4415065324965819,4.9508776754607435,1.6214181834542405,10.559135209185898,8.208348914549255,6.427560247987143,-0.0441349105627431,0.5774807423027779,2.6011258639294397,-0.21120396115496742,2.140024434794851,2.304143089523217
up,-14.49,-6.21,14.99,-5.81,-172.41,-4.3,-6.33,17.79,3.28,-10.35,-9.72,-15.97,4.72,0.0,22.4,39.36,21.92,39.5,-4.6,20.39,5.91,9.13,2.98,14.36,-0.052000000000000046,-2.205,20.02,3.3880000000000003,-15.183999999999997,3.772500000000001,-5.453,18.6885,4.7170000000000005,-0.3254999999999999,-1.3604999999999998,-0.9225,42.733576,3.8489850000000003,4.550269999999999,115.16853600000002,2180.518434,131.99100875,0.19579100000000002,0.3195227499999999,0.6451210000000002,16.96594475,9.121104749999997,32.094658749999994,-1.5774941426243725,-1.3676102455234929,-1.4867400012094552,2.3077102002229104,-2.5261234597238875,2.5423029194306714,-0.09059738740652806,1.2142153808771456,-0.5054442246745354,0.004342996516118085,-0.8480714430079167,-0.16691071058225973,0.9259057387958309,0.3740521283284286,0.7765703694434514,5.626865815574959,6.363767051773786,5.828227392062461,-0.22653644697529574,2.95312876030479,-0.9191399558838262,1.3908690583758716,1.3178036244229636,3.645594618774937
up,0.93,-2.42,20.88,-4.39,-2.25,-3.52,-5.54,18.12,5.2,-1.56,-0.63,-1.71,2.37,-1.23,21.54,1.61,16.11,1.56,-5.13,18.78,5.93,-0.15,1.27,1.71,1.8174999999999997,-1.5515,21.184499999999996,0.032500000000000064,0.71,0.48550000000000004,-5.3445,18.4785,5.676,-0.8305000000000001,0.44699999999999995,0.16099999999999998,0.07352874999999999,0.06826275,0.02587475000000002,2.05487875,17.596659999999996,1.4527447499999997,0.012524749999999992,0.04478275,0.03174399999999998,0.12888475000000002,0.20538100000000004,0.641659,-1.4853812887138296,-1.8963291436769643,0.32338783506933894,-2.054353974808381,3.0636158842005816,-2.2487849844743204,0.2921469613223879,-0.15145209986895153,-0.7687997482582057,0.14207756987101225,-0.04815101936249966,-0.4505599360285182,5.239470166570593,5.024320363693574,-0.02107216090377051,4.297564698581637,9.424985016247469,5.5838030464440624,-0.4079077776467095,-1.2936273083776983,1.0463920920629413,-0.3559383938660483,0.3121038018083522,0.2748890580771528
up,-16.19,-9.82,10.45,-44.82,-155.13,-43.85,-8.35,15.15,1.75,-15.38,-19.48,-23.97,5.58,2.34,27.65,47.51,224.32,26.56,-4.01,22.62,7.9,15.48,17.82,21.09,-4.061,-3.3564999999999996,18.945500000000003,0.3614999999999993,9.758500000000005,-1.0460000000000003,-5.952500000000001,18.528999999999996,3.998,-2.278,-0.632,0.2125000000000002,73.586359,11.600642749999999,20.05556475,330.28376275,5781.85199275,200.723204,0.99480875,2.537089000000001,2.5128760000000003,52.56264599999999,84.50447599999998,95.08694875,-0.4445822834721699,-0.3803623305576581,-0.16471168338730735,0.0637885883809234,0.9324427304871943,-1.2093726978497925,0.17060532432287848,0.12595414355622808,0.46100155862684045,0.5396905702360149,0.051210845748795385,-0.4431613510873192,-1.8605413206997614,-1.2844848737876866,-0.7427671801522173,2.8609440671715403,2.9483557605705943,3.9263157313645465,0.9509928055788128,1.8023484874682891,0.02295600363925354,1.0204806897030556,0.2700260113250166,1.8527079580340802
up,-14.92,-7.5,11.83,-49.41,-216.36,-28.81,-5.24,17.05,1.53,-9.18,-35.99,-51.03,4.66,3.24,24.19,55.08,190.48,50.49,-2.03,20.3,6.4,22.56,15.58,4.0,-0.40600000000000025,-2.2924999999999995,19.898000000000003,1.0535000000000008,-4.218999999999999,2.2970000000000006,-4.5600000000000005,18.72,5.1065000000000005,-0.5975000000000001,-2.576000000000001,-3.6215,42.613154,6.370628750000001,7.727316000000002,383.23372275,5285.838949,231.682521,0.5412300000000001,0.6306899999999995,1.8803927499999997,55.17692875,85.732244,143.35358275000002,-1.4877531095322738,-0.6099182588749813,-1.6379959194470668,0.5253940971671824,-0.460919784430049,1.5839806234457057,2.5126297769869943,0.4140048344413239,-1.7213025879301036,2.281290894301976,-2.1558571483775424,-3.41508831379549,0.6143775761330312,0.7925010805539054,2.6246285533873914,3.8236103752463224,5.107719250705868,5.21773298496475,6.545922631766606,0.6925214304760665,1.7742488466194475,5.417757169154026,8.652651586085428,12.67203170620897
up,-16.48,-9.15,12.14,-9.38,-175.15,-14.5,-7.01,17.52,4.27,-10.01,-24.07,-16.36,0.99,-0.08,28.61,94.19,41.75,57.96,-4.56,21.06,6.8,9.28,16.16,10.11,-3.4170000000000003,-4.263500000000001,20.2815,4.8035000000000005,-14.818000000000001,4.196,-5.9849999999999985,18.482999999999997,5.800000000000001,-1.3435,-0.43150000000000005,-2.1580000000000004,33.639781000000006,5.3337027500000005,12.42840275,522.00967275,2089.178886,208.95943400000004,0.422335,0.6113910000000002,0.5552500000000002,14.980572749999999,79.87592275,40.69844599999998,-1.6169118114928955,-0.3344690906074649,-0.5985077370761704,3.392942508800967,-2.485359443169269,2.8032249431835563,0.21946528731280798,1.844371209851439,-0.8840904831955951,0.39484983938874585,-1.305499037663877,-0.5053215513060533,0.8916545172341879,0.1533447969761914,1.7901005849891929,12.153705593801588,7.066343189007977,9.43713811344713,-0.6216250159472345,4.829720750401242,-0.2941201537159728,2.7113416704591202,2.7469307283794846,1.2311721173754089
up,-15.64,-9.25,11.33,-14.16,-106.35,-9.96,-7.85,17.33,3.45,-6.98,-5.42,-6.74,0.29,-0.43,24.79,24.02,52.83,22.12,-6.58,20.8,6.47,12.5,11.43,10.21,-12.620500000000002,-7.2575,15.665000000000001,2.3199999999999994,-1.209499999999998,1.0545,-7.3985,18.317500000000003,4.4655,1.2899999999999996,2.3975,0.7010000000000003,18.19773475,6.2656487499999995,13.187234999999998,85.54131,1471.5112147500001,85.80806475,0.09664274999999996,0.5893087500000005,0.72055475,21.03768,18.704888750000002,21.206499,1.8587391031752363,1.9525348242817666,1.2837231029902871,1.0396910762770932,-0.9489955706911207,1.2381666426936162,0.698853524922422,1.847650137351485,1.1833289838149275,0.7812353665226379,0.4612013553964905,0.590985355395748,2.9578476375871157,3.171128242210659,0.7812403985057506,1.3624602411878612,1.5098124317635842,0.7290828723610572,0.8140569012537338,4.6511900282748275,0.5784579266524261,0.5028173425004212,-0.44326509109552603,-0.38331820883904877
up,-16.46,-9.8,11.37,-12.65,-245.65,-10.69,-9.44,16.68,2.62,-9.96,-7.28,-9.67,1.79,-2.17,21.99,40.82,59.33,21.88,-8.09,18.69,5.4,14.4,11.08,5.96,-9.051000000000002,-6.984999999999999,16.259,3.1125000000000003,-15.367,0.8084999999999999,-8.7135,17.8445,3.8045,-1.8489999999999998,-0.7085000000000001,-0.3364999999999999,58.474838999999996,7.859824999999999,15.913869,103.29983875000002,3310.828081000001,48.684222749999996,0.11761275,0.3193147500000003,0.6020347499999998,31.611628999999994,14.881732750000003,11.42878275,0.4461133223137629,0.4695780211856263,0.34892754507909884,2.6384445289156884,-3.36434119021656,1.5954720465056178,-0.662018925059187,-0.26876690326455327,0.6448330148958666,1.5688774863464574,1.1603933294043123,-0.6188246374918887,-1.8420396516883082,-1.7587290974035052,-1.8756725279304332,9.399594146259165,13.421112788657023,4.083741897535979,-0.08644720365180225,-0.7431004811108091,-0.509264453306161,3.120774724131361,3.2088366898802416,1.5612398601544255
up,-16.54,-9.64,11.23,-8.01,-223.97,-10.64,-8.64,16.97,1.31,-16.26,-13.33,-17.43,1.6,-3.54,24.25,65.82,45.41,35.16,-6.74,19.52,5.72,13.38,10.84,14.75,-10.6835,-7.649499999999999,15.592500000000001,3.7084999999999986,-12.4845,1.5050000000000001,-7.898500000000001,18.1975,2.9299999999999997,-2.6880000000000006,-1.0254999999999996,-1.2849999999999997,52.83704275,4.25782475,16.99208875,228.13512274999994,3125.62727475,96.81148499999999,0.26044275,0.4573687500000002,2.08627,38.587086000000006,26.382204750000007,40.131505000000004,0.8641940470816307,1.0394018970094656,0.7189201625061801,3.6992843110698432,-2.8987728518219718,2.2426848897629155,0.8515305451447976,0.17317331571256603,0.903663163970322,0.08908782647607852,-0.6705110522542241,-0.051878110893282876,-1.2081231886515744,-0.5443243061369669,-1.0414255517263147,15.193795248876267,10.154917990776038,6.467761896382461,0.666476791142264,-0.302161808394243,-0.7952952480563473,2.2492575301800164,2.022116745318523,2.4263577028239105
