ACC-X-Ring1,ACC-Y-Ring1,ACC-Z-Ring1,GYRO-X-Ring1,GYRO-Y-Ring1,GYRO-Z-Ring1,ACC-X-Ring2,ACC-Y-Ring2,ACC-Z-Ring2,GYRO-X-Ring2,GYRO-Y-Ring2,GYRO-Z-Ring2,TEST
0.33,-1.14,21.5,21.58,8.15,24.71,-0.18,18.76,4.49,11.33,8.84,-0.78,1
-0.05,-2.11,20.81,10.3,7.52,12.26,-0.55,18.29,4.13,2.59,2.64,-7.81,1
-0.77,-1.53,20.58,-2.34,5.86,5.47,-0.97,18.39,4.41,-6.64,-7.91,7.03,1
-1.35,-0.95,20.48,-3.22,-5.13,-6.45,0.64,20.02,5.83,-3.81,-0.68,2.83,1
1.19,-2.74,23.48,-4.0,-3.71,-2.2,0.27,17.81,5.27,-5.71,2.39,5.57,1
-0.72,-2.49,20.07,-6.01,-1.86,1.61,0.27,18.36,5.21,-3.61,0.49,-3.61,1
-0.58,-2.53,21.02,-3.22,2.25,1.42,0.5,20.04,5.92,-2.73,-1.22,0.73,1
0.01,-3.15,22.25,-3.17,-0.93,-1.95,0.33,18.75,5.65,-1.17,-1.71,2.78,1
-0.45,-3.19,21.04,-0.2,-2.0,-1.17,0.66,18.84,5.86,-0.93,-1.61,1.56,1
-0.19,-3.32,21.26,0.73,-1.12,-1.61,0.57,18.84,5.6,-0.73,0.2,-0.34,1
-0.18,-3.37,21.32,0.34,-0.34,0.24,0.79,19.16,6.12,-1.03,0.59,-1.17,1
-0.12,-3.11,21.74,1.61,-0.34,0.15,0.64,19.16,5.92,-0.98,-0.54,0.24,1
-0.31,-3.26,21.35,-0.05,-1.07,-0.54,0.18,19.15,5.82,-3.22,-0.83,0.0,1
-0.54,-3.09,20.94,-1.37,-1.86,-1.32,5.75,15.45,12.09,-11.23,7.76,8.94,1
0.97,-5.87,20.45,-7.72,-8.74,1.03,3.74,18.92,4.57,-33.79,233.15,27.1,1
8.23,-7.68,17.22,27.83,17.87,275.1,-2.52,22.56,-0.38,-22.07,38.33,29.83,1
-6.77,15.6,15.73,32.57,3.96,75.54,-4.35,15.99,7.02,-7.52,0.93,-1.03,1
-2.7,1.6,18.87,10.55,-6.3,15.77,-2.92,16.85,7.83,7.23,12.21,-4.25,1
-0.82,1.76,20.91,6.45,7.76,2.78,-2.86,16.92,8.77,6.35,3.08,1.03,1
0.05,1.52,21.85,-1.32,-2.78,-5.47,-2.07,22.75,-3.16,121.44,-132.42,-21.58,1
9.33,-6.49,24.55,15.82,5.03,232.67,-5.5,21.74,5.02,-14.45,28.17,14.84,2
-1.56,13.83,20.17,64.6,-37.21,74.85,-7.14,16.53,7.32,10.5,-2.64,-19.87,2
-2.03,0.85,17.33,1.07,-5.22,20.26,-6.47,16.58,6.47,15.58,2.83,-4.35,2
1.72,5.91,21.13,8.2,3.56,-1.51,-1.24,17.9,1.09,101.9,-132.32,18.55,2
-2.32,7.93,18.42,8.98,6.69,-73.54,4.7,27.63,9.39,6.35,-59.72,25.98,2
5.87,-0.43,24.52,-36.33,-8.25,-107.52,0.19,19.41,4.08,-31.49,-25.78,-10.94,2
1.14,-1.78,20.83,-40.43,-10.84,-29.49,0.4,19.24,5.73,-13.77,-26.27,5.52,2
1.13,-1.72,21.48,-23.93,-17.48,-31.69,0.01,18.59,7.01,-8.01,-18.85,0.54,2
1.71,-3.76,20.77,-16.8,-6.69,-22.71,0.44,18.29,6.65,-4.0,-0.98,-2.93,2
2.53,-3.66,21.47,-7.23,0.1,-2.44,0.34,19.14,7.07,-0.05,2.0,5.47,2
1.66,-3.98,21.05,-0.98,-5.22,1.9,-0.15,18.52,6.13,1.9,1.22,-4.49,2
1.82,-3.03,20.85,1.51,0.83,7.76,-0.26,18.88,6.57,-5.32,-2.73,4.05,2
1.26,-3.1,20.73,-4.93,-4.93,-1.03,0.46,18.17,7.15,-2.39,-1.32,1.9,2
2.39,-3.97,20.97,-2.73,-2.93,-0.34,0.42,18.78,6.67,-0.39,1.61,2.98,2
2.24,-3.64,20.91,0.54,-3.27,3.81,-0.13,17.81,7.13,-1.22,2.25,2.88,2
1.93,-4.48,20.54,-3.86,-3.03,2.25,0.59,18.83,6.59,-0.1,2.29,10.16,2
2.0,-3.48,20.53,3.71,-7.57,3.61,0.24,18.32,6.47,-4.15,0.88,-8.3,2
2.91,-3.47,21.72,-8.94,1.37,3.61,0.62,18.09,7.08,-1.56,4.49,3.03,2
2.16,-4.9,20.0,-2.83,-1.86,3.81,0.15,17.68,7.33,-2.05,2.15,4.54,2
1.88,-5.01,20.36,-1.86,-3.42,2.25,0.95,18.73,6.99,-1.12,4.83,0.0,2
-6.3,10.58,7.66,42.68,-7.52,70.75,-4.79,28.8,-4.83,2.0,35.94,62.06,3
