ACC-X-Ring1,ACC-Y-Ring1,ACC-Z-Ring1,GYRO-X-Ring1,GYRO-Y-Ring1,GYRO-Z-Ring1,ACC-X-Ring2,ACC-Y-Ring2,ACC-Z-Ring2,GYRO-X-Ring2,GYRO-Y-Ring2,GYRO-Z-Ring2,TEST
-11.49,-4.31,18.56,-8.35,39.36,-7.37,0.45,17.44,5.3,-0.2,-1.71,5.32,1
-11.84,-4.27,16.81,8.35,-12.3,1.56,1.56,18.86,6.13,-1.51,-0.1,-6.15,1
-11.86,-3.84,17.98,1.9,-0.1,-1.37,1.67,19.62,6.26,4.1,-2.83,2.93,1
-11.21,-4.22,18.69,7.81,-10.06,1.56,1.27,18.79,5.67,2.39,-2.25,-2.98,1
-9.56,-3.16,20.45,18.99,-39.16,12.35,0.74,18.1,5.47,-0.0,0.78,-6.74,1
-5.88,-1.83,17.31,25.29,-136.08,34.52,1.24,20.34,5.31,8.74,-3.08,2.69,1
2.55,2.81,22.0,13.33,-114.26,33.89,1.28,19.46,5.28,-1.61,-1.81,4.54,1
4.47,0.11,21.0,0.39,-5.81,2.39,1.61,19.78,5.43,-2.15,-1.37,3.22,1
4.82,-0.48,21.04,-4.2,-3.37,-0.44,1.34,18.76,5.5,-2.15,0.54,0.54,1
4.44,-0.85,20.58,-0.98,6.93,0.05,1.49,18.52,5.28,-2.3,0.39,1.27,1
3.42,-0.7,19.94,-1.47,7.08,0.0,1.64,19.05,5.53,-1.17,0.78,-1.9,1
3.79,-0.78,20.87,-2.0,5.86,0.0,1.5,19.23,5.38,0.1,0.1,-0.63,1
3.9,-1.06,21.45,-4.25,6.79,-2.78,1.48,18.83,5.38,-1.03,0.24,-1.66,1
3.16,-0.97,20.68,-0.15,1.22,0.2,1.47,19.14,5.54,-0.05,-0.34,0.24,1
3.65,-0.73,21.35,3.86,-1.66,1.9,1.25,18.91,5.31,-0.78,0.2,-0.34,1
3.04,-1.22,21.16,-5.57,20.07,-5.13,1.19,18.68,5.33,-0.98,0.73,0.54,1
2.66,-1.33,21.44,-0.78,-2.69,-0.1,1.31,19.01,5.72,-0.88,-0.29,-1.07,1
3.32,-0.55,22.99,-5.76,21.83,-4.39,1.31,18.56,5.48,-0.49,-0.39,1.03,1
1.35,-1.63,21.23,2.34,-7.28,0.54,1.2,18.6,5.35,-1.56,0.63,-1.27,1
1.38,-1.2,21.56,-2.59,7.32,-1.61,1.1,18.66,5.38,-0.24,-0.59,2.2,1
14.85,-0.52,18.84,-2.93,-82.57,11.33,-6.85,16.78,2.92,-7.08,14.65,3.22,2
14.01,-2.14,14.34,-4.69,-30.03,5.76,-6.16,17.23,4.6,-5.13,3.86,-5.18,2
15.62,-2.04,12.67,-2.15,-40.43,4.39,-5.07,17.76,5.82,-5.66,-6.98,12.21,2
19.38,0.9,17.43,-8.89,79.35,-14.21,-3.97,21.06,7.55,9.47,-6.1,-17.68,2
9.43,3.0,14.22,47.8,223.0,-47.66,-6.46,20.52,4.44,4.25,-5.96,4.15,2
1.07,-3.34,19.52,-15.28,76.95,-25.39,-6.23,17.08,4.25,-12.3,-11.33,9.72,2
-0.28,-0.09,20.44,-10.16,-4.05,-12.6,-4.91,19.14,5.42,3.22,-25.15,18.16,2
0.1,-2.2,20.78,-15.33,-2.34,-3.47,-4.12,18.35,6.15,1.9,-3.42,-1.95,2
-0.37,-1.04,20.7,-5.66,8.35,-4.39,-3.39,19.72,6.48,0.49,-24.32,6.64,2
-0.69,-1.1,21.21,-3.91,0.49,2.2,-4.13,19.45,5.37,0.78,5.08,-2.39,2
-0.0,-1.71,21.6,1.22,-0.93,3.47,-3.92,18.78,5.48,-1.56,3.56,0.2,2
