ACC-X-Ring1,ACC-Y-Ring1,ACC-Z-Ring1,GYRO-X-Ring1,GYRO-Y-Ring1,GYRO-Z-Ring1,ACC-X-Ring2,ACC-Y-Ring2,ACC-Z-Ring2,GYRO-X-Ring2,GYRO-Y-Ring2,GYRO-Z-Ring2,ACC-X-Ring3,ACC-Y-Ring3,ACC-Z-Ring3,GYRO-X-Ring3,GYRO-Y-Ring3,GYRO-Z-Ring3,TEST
-0.64,-4.43,19.84,168.6,-24.71,10.3,6.89,26.46,-0.13,300.29,-3.71,52.34,6.39,2.12,-17.75,38.23,25.59,17.29,1
1.21,7.87,15.84,211.62,-17.24,33.54,4.46,24.67,1.54,-7.96,13.28,9.52,5.73,2.84,-20.38,28.76,23.05,6.54,1
2.88,11.22,9.72,189.94,-7.28,26.12,2.36,24.49,2.44,-51.47,2.39,-6.25,8.07,0.05,-18.18,-32.13,-8.89,3.66,1
4.9,21.18,-6.79,235.25,29.54,48.44,2.28,18.22,5.83,-170.46,-30.18,21.53,10.1,7.0,-17.42,-98.63,2.49,-10.5,1
7.75,15.93,-3.98,53.76,-22.02,45.51,6.54,5.5,10.73,-270.56,-10.25,50.54,10.99,10.74,-15.1,-143.51,5.62,-43.75,1
4.71,20.84,-6.92,-18.8,0.24,-0.63,6.73,-9.94,7.58,-353.42,-8.94,57.18,7.31,12.04,-9.59,-159.18,10.94,-61.52,1
4.71,23.39,-5.4,-81.1,-5.52,-43.46,8.71,-20.6,5.67,-99.56,-61.72,31.45,4.48,16.85,-3.35,-115.33,13.38,-56.98,1
4.48,23.66,-0.62,-180.62,-6.84,-39.01,7.3,-22.79,2.59,-52.15,-25.24,21.63,-0.33,18.23,2.76,-41.7,8.84,-35.25,1
1.14,15.46,7.06,-225.63,31.79,-46.78,9.58,-19.6,1.06,-18.99,-25.49,-2.1,0.63,21.95,5.17,-11.82,8.2,-0.1,1
-1.31,6.57,15.57,-166.6,65.77,-29.64,9.62,-19.35,0.87,-1.37,-8.94,-7.52,0.85,20.2,4.94,3.81,3.22,8.54,1
-5.18,-4.16,18.77,-168.21,21.29,-13.72,8.45,-16.98,2.4,14.01,4.64,3.03,-1.21,17.16,3.5,9.42,0.34,-2.64,1
-8.2,-8.25,19.63,-41.89,19.53,1.03,7.44,-19.43,1.04,-15.72,-4.98,-1.42,-1.64,17.8,4.29,-16.89,2.93,-7.91,1
-4.2,-8.92,20.81,-33.35,-12.01,3.03,7.96,-18.83,0.98,4.3,4.44,-13.87,-1.27,18.22,4.92,6.25,-10.79,5.96,1
-3.04,-8.88,20.66,-5.86,-11.67,2.64,10.35,-19.68,0.53,6.05,3.91,-16.6,-0.42,19.75,4.97,4.44,-7.18,11.82,1
-4.93,-5.57,18.64,16.36,9.47,2.34,10.64,-18.91,2.21,14.99,4.3,-10.74,1.12,20.12,4.26,9.72,3.96,9.86,1
