ACC-X-Ring1,ACC-Y-Ring1,ACC-Z-Ring1,GYRO-X-Ring1,GYRO-Y-Ring1,GYRO-Z-Ring1,ACC-X-Ring2,ACC-Y-Ring2,ACC-Z-Ring2,GYRO-X-Ring2,GYRO-Y-Ring2,GYRO-Z-Ring2,ACC-X-Ring3,ACC-Y-Ring3,ACC-Z-Ring3,GYRO-X-Ring3,GYRO-Y-Ring3,GYRO-Z-Ring3,TEST
6.53,-4.84,19.32,-0.0,-1.61,1.86,5.9,-2.18,19.83,-0.88,-0.39,0.44,0.55,16.9,9.43,0.83,2.15,-0.05,1
6.45,-4.79,19.35,0.05,-1.22,1.07,5.76,-2.16,19.82,0.34,0.2,0.44,0.41,17.37,9.46,0.98,2.2,-0.29,1
6.57,-4.93,19.3,0.05,-0.59,0.73,5.77,-2.08,19.74,-0.0,0.2,0.0,0.39,17.36,9.47,1.03,2.1,-0.2,1
6.53,-4.96,19.38,-0.24,-1.27,0.88,5.77,-2.06,19.76,0.68,-0.05,0.39,0.27,17.38,9.54,1.27,2.73,-0.05,1
6.52,-4.83,19.37,0.34,-1.17,1.17,5.92,-2.18,19.77,-0.29,-0.34,0.0,0.44,17.37,9.41,1.51,3.08,-0.34,1
6.58,-4.84,19.42,0.78,-1.27,0.78,5.9,-2.16,19.76,-0.29,-0.2,-0.34,0.35,17.42,9.36,1.03,1.86,-0.44,1
6.6,-4.81,19.42,0.39,-1.03,0.49,5.84,-2.19,19.88,-0.05,-0.39,0.05,0.36,17.31,9.42,0.68,2.44,-0.34,1
6.6,-4.82,19.39,0.1,-0.59,0.88,5.78,-2.14,19.93,-0.2,-0.24,0.34,0.28,17.32,9.43,1.07,2.49,0.0,1
6.79,-4.87,19.6,0.68,-0.78,0.59,5.93,-2.21,19.78,-0.44,-0.15,-0.59,1.0,17.24,9.86,0.93,1.42,-0.83,1
6.69,-4.93,19.36,-0.29,-0.68,0.49,5.71,-2.15,19.81,0.2,0.39,0.05,0.32,17.56,9.32,1.03,2.25,-0.15,1
6.58,-4.87,19.3,-0.39,-0.63,1.12,5.92,-2.19,19.8,-0.05,-0.15,0.2,0.27,17.45,9.34,0.2,2.34,-0.1,1
6.44,-4.73,19.52,0.59,-0.73,1.03,5.82,-2.19,19.87,-0.59,-0.83,0.0,0.31,17.39,9.42,1.03,2.39,0.0,1
6.74,-4.94,19.38,0.1,-1.46,0.93,5.91,-2.31,19.86,1.22,-0.68,-0.24,0.27,17.5,9.37,0.83,2.15,-0.24,1
6.55,-4.73,19.52,0.24,-0.93,0.78,5.95,-2.07,19.79,-0.15,-0.73,0.0,0.3,17.36,9.4,0.78,2.15,-0.1,1
6.57,-4.83,19.43,0.05,-0.83,0.88,6.04,-2.05,19.88,-0.05,-0.49,-0.2,0.2,17.37,9.39,0.34,2.34,-0.34,1
6.53,-4.38,19.38,-2.59,0.59,2.64,5.76,-2.27,20.22,-8.15,0.49,0.44,0.58,17.44,9.65,1.12,1.32,-1.71,1
6.36,-5.13,19.29,-2.49,0.0,2.1,5.87,-2.73,19.95,-2.39,-0.93,1.56,0.17,17.35,9.35,1.32,2.39,-0.54,1
6.47,-5.28,19.46,0.05,0.15,0.68,6.13,-2.43,19.71,-0.34,-0.73,0.05,0.09,17.56,9.25,1.71,1.95,-0.83,1
6.46,-5.05,19.45,0.15,-1.12,0.44,6.01,-2.44,19.77,-0.59,-0.59,-0.24,0.11,17.42,9.24,1.12,0.05,-2.2,1
6.39,-5.19,19.51,-0.05,-1.42,0.49,6.02,-2.48,19.8,-0.54,-1.46,0.1,0.08,17.39,9.22,0.59,2.25,-0.05,1
5.3,-4.41,20.13,0.34,-0.63,0.93,5.05,-1.31,20.33,-0.54,-0.05,0.05,0.05,17.36,9.42,0.68,2.05,-0.1,2
5.33,-4.29,20.1,0.63,-0.73,0.88,5.05,-1.25,20.27,-0.15,-0.05,-0.05,0.06,17.43,9.44,0.78,2.1,-0.2,2
5.33,-4.33,20.02,0.63,-0.83,0.88,5.0,-1.3,20.21,-0.1,-0.2,-0.05,0.04,17.39,9.41,0.83,2.15,-0.34,2
5.32,-4.29,20.0,0.39,-0.88,0.93,5.01,-1.23,20.25,-0.24,-0.2,0.0,0.05,17.4,9.43,0.68,2.1,-0.2,2
5.35,-4.33,20.06,0.54,-0.78,0.93,5.0,-1.26,20.24,-0.24,-0.15,-0.1,0.01,17.39,9.38,0.93,2.15,-0.24,2
5.33,-4.3,20.04,0.39,-0.73,0.93,4.99,-1.25,20.22,-0.54,-0.1,-0.05,0.07,17.42,9.35,0.83,2.05,-0.24,2
5.27,-4.29,20.04,0.44,-0.73,0.98,5.03,-1.31,20.26,-0.29,-0.15,0.1,0.03,17.41,9.38,0.98,1.81,-0.2,2
5.79,-4.76,19.99,-3.22,0.63,1.27,5.41,-1.4,20.34,-3.91,0.0,0.59,-0.53,17.79,9.75,-1.56,-2.05,1.03,2
4.29,-4.55,20.67,-15.38,3.66,7.67,4.13,-1.97,20.68,-16.5,-2.29,5.81,0.46,17.59,9.08,18.21,2.25,7.96,2
4.41,-6.22,19.82,-31.2,5.03,6.69,5.44,-3.68,20.43,-36.52,-5.27,3.47,0.35,19.73,9.2,3.22,4.2,-8.15,2
5.53,-7.21,19.03,-28.32,-17.63,-4.83,4.1,-2.0,19.89,-4.79,-17.38,1.81,1.24,16.17,8.24,-5.76,-2.54,-10.84,2
7.56,-9.87,18.59,-28.47,-1.12,-10.01,8.34,-7.26,19.04,-41.7,-24.46,-8.5,-0.56,18.58,9.61,2.59,-4.54,-7.62,2
6.17,-10.09,17.9,-11.43,-0.59,-13.43,8.51,-8.63,17.33,-19.24,-7.03,-11.43,-0.64,17.12,9.76,-2.0,-9.72,-3.08,2
6.14,-10.76,15.03,-38.43,-22.85,-16.41,8.21,-8.22,14.4,-24.71,-28.17,-13.33,-1.66,17.57,9.92,-31.84,-24.9,-24.76,2
7.67,-12.59,15.07,-18.46,-12.3,-11.43,10.37,-9.69,14.91,-20.26,-15.28,-11.72,-1.42,19.08,9.64,14.99,-1.51,9.08,2
8.57,-10.09,15.56,3.86,-2.64,-2.34,10.61,-8.63,14.71,4.69,2.05,-2.83,-2.51,16.13,8.27,-15.87,1.56,-11.47,2
7.18,-10.64,15.1,-24.22,8.5,2.34,9.46,-8.61,14.22,-15.77,7.13,0.39,-2.19,17.37,8.7,-10.01,-3.08,-22.22,2
6.98,-10.71,14.08,-36.77,15.58,4.83,9.38,-8.1,13.18,-33.59,12.5,6.93,-0.04,13.37,9.18,-26.86,-4.3,-21.48,2
6.19,-13.47,14.13,50.29,41.5,-13.48,11.62,-11.58,14.23,-3.81,37.35,-6.35,0.56,19.79,7.72,120.7,-6.79,13.62,2
4.32,-8.79,18.15,37.35,24.37,-7.32,6.18,-4.97,15.79,45.12,55.81,-14.16,-3.37,23.01,8.66,39.26,-19.63,29.79,2
3.68,-3.57,20.64,-1.03,0.0,1.07,3.77,-0.3,20.48,-0.93,-0.15,0.2,0.24,17.45,9.11,0.63,2.05,0.2,3
4.08,-3.37,20.58,-0.78,0.83,0.68,4.14,-0.21,20.39,-0.93,-0.63,0.15,0.21,17.54,9.17,1.12,2.2,-0.44,3
3.73,-3.95,20.28,-1.51,-2.15,0.44,3.82,-0.41,20.4,-0.93,-0.05,0.0,0.23,17.5,9.15,0.68,2.0,-0.05,3
3.6,-3.83,20.36,-0.1,-0.73,0.73,3.73,-0.57,20.41,0.05,-0.2,-0.44,0.27,17.52,9.15,0.93,2.1,-0.2,3
3.93,-3.57,20.5,1.71,-1.56,0.44,3.86,-0.62,20.22,-0.44,-0.63,-0.29,0.19,17.61,9.14,0.98,2.15,-0.15,3
