ACC-X-Ring1,ACC-Y-Ring1,ACC-Z-Ring1,GYRO-X-Ring1,GYRO-Y-Ring1,GYRO-Z-Ring1,ACC-X-Ring2,ACC-Y-Ring2,ACC-Z-Ring2,GYRO-X-Ring2,GYRO-Y-Ring2,GYRO-Z-Ring2,ACC-X-Ring3,ACC-Y-Ring3,ACC-Z-Ring3,GYRO-X-Ring3,GYRO-Y-Ring3,GYRO-Z-Ring3,TEST
-0.04,-5.04,15.12,-37.94,-246.92,134.33,5.75,-20.43,9.75,-4.79,-22.27,-3.66,5.1,14.34,-10.36,25.0,3.86,-19.43,1
14.08,-0.96,19.93,51.51,-74.95,35.06,3.9,-17.81,10.75,1.76,-5.27,-1.76,5.27,14.97,-13.77,92.24,121.29,-42.19,1
10.68,-4.79,17.83,-2.15,-27.0,11.38,4.52,-17.38,11.05,-9.28,0.05,6.2,7.05,11.79,-10.56,1.22,29.64,-18.9,1
10.51,-1.86,16.84,2.59,-5.62,-0.39,1.14,-20.53,9.04,-25.93,30.13,-8.25,7.5,14.77,-9.64,3.12,34.03,-15.48,1
12.15,-2.05,17.29,-6.64,3.37,7.76,2.79,-18.51,8.3,0.24,21.58,7.57,8.3,13.57,-8.5,-4.15,18.6,-2.34,1
13.47,-1.48,16.75,-49.71,90.28,-47.12,1.24,-18.38,9.21,28.17,23.63,7.81,8.78,14.29,-8.62,-3.03,4.59,-5.47,1
11.84,-7.35,20.01,-11.87,43.85,-14.26,1.28,-19.85,10.75,10.89,14.26,6.59,7.42,14.77,-8.9,3.08,5.42,-0.73,1
0.45,-0.37,18.04,1.37,70.36,-13.43,0.52,-18.85,10.55,1.22,-0.93,0.24,8.16,14.56,-8.7,0.29,5.03,-3.37,1
1.32,-3.96,20.52,44.78,102.69,-23.54,0.42,-18.91,10.24,-0.1,0.83,1.27,7.36,13.85,-8.15,-0.59,0.34,-0.93,1
-7.88,2.17,19.5,8.84,18.41,-15.38,0.64,-18.83,10.61,2.05,0.29,-0.34,8.09,14.41,-8.26,1.81,3.27,-3.56,1
-4.4,-2.06,21.16,7.08,10.69,-4.44,0.61,-18.65,10.26,-0.83,0.98,1.12,7.73,14.6,-8.05,2.83,0.73,-0.73,1
-3.96,-1.98,21.2,-4.69,-6.88,-0.73,0.61,-18.78,10.41,-1.27,-1.86,-0.63,7.39,14.3,-8.38,-1.42,2.78,-2.59,1
-4.54,-2.19,21.2,-7.13,-10.11,-0.78,0.68,-18.88,10.45,1.61,0.29,-0.29,7.87,14.55,-8.38,0.15,3.32,-1.76,1
-4.64,-1.9,21.13,5.96,2.54,1.61,0.66,-18.88,10.48,-1.42,-0.54,-0.34,7.86,14.54,-8.19,0.1,1.81,-1.51,1
-3.77,-2.89,21.28,-1.66,-0.98,-0.15,0.7,-18.75,10.49,0.1,-1.46,0.39,7.93,14.38,-7.9,2.49,0.59,0.1,1
-4.83,-2.18,20.97,-3.42,-1.76,0.15,0.63,-18.63,10.51,0.1,-0.78,-0.68,7.85,14.59,-8.18,-0.98,0.98,0.2,1
-4.5,-2.44,21.19,0.98,-2.2,2.15,0.51,-18.7,10.13,-0.49,0.34,0.39,7.44,14.76,-8.45,2.2,2.1,-0.15,1
-4.73,-2.49,21.0,1.07,-0.98,0.39,0.78,-18.71,10.48,0.34,-0.54,-0.63,7.34,13.96,-8.2,-1.17,1.51,0.0,1
-4.28,-2.24,21.08,-0.29,-3.76,0.34,0.8,-18.74,10.51,0.24,-0.68,-0.59,7.97,14.51,-8.12,0.2,2.49,-1.27,1
-4.33,-2.44,21.33,-0.93,-2.69,0.24,0.81,-18.77,10.44,0.24,-0.73,0.2,7.88,14.78,-8.13,1.9,1.66,-0.98,1
4.76,-7.72,17.15,-9.38,-194.87,86.96,-0.65,-20.78,9.0,11.77,-12.84,-4.3,5.83,13.85,-10.41,-51.56,-117.19,46.0,2
16.32,-0.18,23.44,61.72,-61.82,9.42,0.77,-19.08,9.16,11.87,3.42,5.18,6.53,16.8,-9.49,-13.97,-2.64,8.45,2
