ACC-X-Ring1,ACC-Y-Ring1,ACC-Z-Ring1,GYRO-X-Ring1,GYRO-Y-Ring1,GYRO-Z-Ring1,ACC-X-Ring2,ACC-Y-Ring2,ACC-Z-Ring2,GYRO-X-Ring2,GYRO-Y-Ring2,GYRO-Z-Ring2,ACC-X-Ring3,ACC-Y-Ring3,ACC-Z-Ring3,GYRO-X-Ring3,GYRO-Y-Ring3,GYRO-Z-Ring3,TEST
-7.36,0.68,20.34,32.37,57.47,2.2,-3.74,-3.77,20.18,16.45,14.21,3.66,-0.09,16.55,-7.89,0.15,10.4,7.57,1
-9.56,3.36,19.93,-3.52,91.85,2.2,-3.08,-6.55,20.06,2.54,13.28,1.51,0.48,18.64,-8.21,-0.73,5.91,2.88,1
-11.39,3.06,16.81,26.32,41.21,1.03,-4.22,-5.73,19.42,4.64,10.64,-5.76,-0.09,17.67,-8.08,5.13,-1.37,-2.64,1
-12.95,2.58,17.96,0.59,25.59,-6.35,-4.02,-7.64,20.06,-1.86,2.78,1.51,-0.74,17.29,-8.8,6.2,-22.56,-10.11,1
-13.83,1.85,16.38,-10.11,14.11,2.29,-5.63,-6.34,19.56,-1.95,-7.86,4.54,-1.81,15.04,-7.13,-21.58,-16.89,-9.62,1
-15.89,1.61,14.89,-18.46,-21.58,7.91,-4.27,-5.15,20.02,-0.39,-8.64,7.57,-1.32,18.12,-8.05,-3.22,-11.33,-4.98,1
-16.47,1.6,15.61,-72.12,-123.0,-1.42,-5.95,-4.91,20.33,4.64,1.61,-2.2,-2.42,18.17,-8.83,4.98,0.39,-0.88,1
-8.87,-2.44,20.8,-10.16,-24.22,-7.28,-4.12,-7.14,19.46,0.59,-5.47,-0.93,-3.27,16.54,-8.05,2.29,9.47,1.76,1
-5.35,-1.24,20.84,-2.1,-8.45,-0.15,-3.28,-7.65,20.11,-0.05,-15.87,-0.63,-2.37,16.12,-7.58,-3.71,0.05,-1.27,1
-2.96,-2.0,22.9,-2.69,-40.62,6.84,-2.23,-8.63,21.2,-7.18,-4.39,-0.49,-1.71,17.3,-8.37,3.37,0.83,-3.61,1
-3.76,-1.17,21.01,1.46,2.15,3.42,-1.65,-7.71,20.01,0.88,-4.69,-1.61,-2.14,17.41,-9.37,3.61,6.3,-0.24,1
