ACC-X-Ring1,ACC-Y-Ring1,ACC-Z-Ring1,GYRO-X-Ring1,GYRO-Y-Ring1,GYRO-Z-Ring1,ACC-X-Ring2,ACC-Y-Ring2,ACC-Z-Ring2,GYRO-X-Ring2,GYRO-Y-Ring2,GYRO-Z-Ring2,ACC-X-Ring3,ACC-Y-Ring3,ACC-Z-Ring3,GYRO-X-Ring3,GYRO-Y-Ring3,GYRO-Z-Ring3,TEST
-8.31,6.03,16.97,80.03,95.8,27.1,3.63,-5.67,20.1,1.07,-2.39,-0.98,-2.0,18.45,5.42,1.22,4.25,22.9,1
-10.52,1.39,12.25,45.31,-246.58,-16.85,3.28,-5.76,19.68,-0.29,-0.34,0.34,-2.95,24.35,3.58,5.22,7.52,-4.54,1
15.41,0.68,22.57,-47.02,249.37,3.91,3.39,-5.7,20.02,-1.27,-0.44,-0.1,-2.95,12.75,4.86,-10.79,2.0,-1.86,1
-13.88,-11.21,11.75,16.45,-78.17,18.55,3.79,-5.57,20.23,0.68,-0.49,-0.73,-2.41,17.5,3.4,9.77,-3.32,9.23,1
31.51,6.27,26.52,15.04,-250.44,3.91,3.41,-5.73,19.82,0.98,-1.37,-0.44,-2.7,18.07,5.19,-24.85,0.05,-24.71,1
-30.6,-12.51,14.19,-102.05,255.81,32.62,2.92,-5.53,19.77,-0.78,-0.78,-0.49,-3.22,16.1,2.67,0.54,1.03,4.35,1
21.01,1.58,24.06,54.3,-420.26,-26.51,3.55,-5.49,20.06,-0.98,0.0,0.44,-2.97,17.26,4.67,-30.91,2.73,-40.33,1
-22.15,-9.19,13.02,-38.82,292.63,49.46,3.44,-5.42,19.86,0.54,0.73,0.1,-3.66,16.65,2.03,10.2,2.88,12.45,1
2.29,1.9,20.82,35.45,-384.86,-24.17,3.34,-5.31,20.05,0.68,-1.22,0.88,-2.14,21.08,5.47,-19.73,1.46,-38.53,1
-2.19,-1.69,10.14,-40.28,343.7,36.62,3.52,-6.07,19.92,-0.0,-0.15,0.05,-2.89,18.75,4.43,13.67,11.57,26.76,1
-11.91,-2.81,7.12,57.42,-316.26,-43.9,3.36,-5.74,19.76,-0.2,-1.03,-0.15,-2.62,21.58,5.95,-12.84,1.56,-24.12,1
1.08,-8.46,17.11,-33.35,212.55,86.57,3.64,-6.09,20.08,-0.34,-2.64,-1.07,-2.93,19.36,4.47,17.58,1.61,11.28,1
-3.67,-0.62,18.93,9.52,-49.32,-1.9,3.55,-5.49,19.88,-2.05,-0.68,0.59,-2.61,19.46,4.6,0.63,-0.88,-4.2,1
6.22,-8.79,22.4,-29.83,10.55,-2.69,3.47,-5.78,19.9,-0.83,-0.83,0.2,-2.7,19.68,4.28,4.49,2.0,1.66,1
3.52,-4.12,20.97,-5.47,7.67,2.69,3.52,-5.62,20.0,-1.42,0.93,0.1,-2.93,18.51,4.1,-0.29,1.66,-5.81,1
0.65,-5.61,20.63,-5.32,10.84,3.66,3.73,-5.8,20.18,-0.24,-1.03,-0.2,-2.78,18.81,4.11,-1.42,1.17,-0.24,1
-1.6,-7.35,20.04,-11.28,4.49,1.86,3.48,-5.41,19.84,0.73,-1.07,-0.1,-2.78,19.17,4.4,2.73,-0.34,-1.46,1
1.93,-5.07,21.52,-1.47,14.31,0.88,3.73,-5.47,20.64,1.07,-0.2,0.15,-2.87,19.47,4.0,4.3,-0.49,0.54,1
1.11,-5.49,20.9,8.11,-9.03,-0.49,3.33,-5.66,19.63,0.88,0.59,-0.1,-2.79,18.99,4.15,0.63,0.2,-2.1,1
1.18,-4.97,20.94,-7.86,1.17,2.44,3.63,-6.12,19.93,-0.24,-3.22,-1.56,-2.71,19.89,4.28,4.2,-0.34,-0.05,1
0.88,-6.77,22.15,-0.15,147.07,30.76,3.9,-10.32,17.6,37.6,15.14,-10.79,-2.13,19.61,4.83,0.29,0.63,8.64,2
-15.1,-7.62,15.65,10.64,-57.57,12.3,4.72,-4.08,18.12,11.72,-18.85,-12.5,-2.76,15.41,2.78,11.96,0.15,6.3,2
38.64,3.74,25.87,15.82,-274.56,-11.57,4.19,-12.47,18.14,-54.98,7.08,1.86,-2.53,17.86,4.19,-14.45,8.01,-19.04,2
-5.87,-6.33,13.86,-8.5,234.42,33.06,5.04,-6.48,17.38,31.35,-18.75,-5.86,-2.65,18.25,3.87,-1.07,7.13,5.66,2
-8.51,-0.28,10.88,54.69,-286.04,-29.88,6.26,-7.57,22.51,-53.52,8.69,12.11,-2.73,23.49,5.26,-4.69,4.0,-14.7,2
7.26,-3.28,15.46,-88.77,301.27,52.64,4.17,-7.21,19.42,14.31,-4.0,-9.03,-3.01,19.89,3.98,16.99,5.47,17.38,2
-15.71,-0.35,9.72,74.51,-236.96,-38.28,5.95,-7.01,23.15,-48.88,10.35,18.75,-2.07,25.11,5.85,2.05,-3.91,-3.61,2
16.18,-0.97,24.3,-85.21,281.93,44.97,2.73,-5.02,18.19,18.21,-14.16,-6.3,-2.96,18.77,4.13,18.75,3.66,22.36,2
-16.11,-5.78,12.46,102.88,-102.44,-16.85,6.35,-4.42,22.14,-43.99,9.38,17.29,-1.69,24.1,6.65,1.46,-8.74,-6.1,2
16.53,-1.34,24.84,-75.24,271.48,24.22,2.84,-7.64,18.01,65.87,-8.4,-4.88,-2.84,14.55,4.15,-0.73,5.13,11.57,2
-11.02,-4.31,10.28,76.03,-13.67,-1.17,7.8,-7.02,21.81,-25.29,6.45,3.52,-2.83,21.99,3.56,7.71,-6.84,5.76,2
39.07,2.24,22.26,-35.16,-62.65,-8.59,2.05,-9.72,17.69,13.48,3.66,-7.32,-3.21,16.68,4.26,-1.37,4.49,2.34,2
-14.19,-1.05,14.38,13.38,144.34,11.82,5.85,-5.02,18.69,35.11,-4.74,20.17,-2.21,20.51,4.51,4.93,2.2,0.05,2
7.67,-0.08,23.06,17.82,-134.62,-18.46,3.55,-8.01,18.33,-3.52,-8.35,0.54,-2.7,17.38,4.48,-1.07,1.42,-4.1,2
-1.65,-10.55,19.17,-48.97,5.13,-0.2,3.83,-6.72,19.56,-7.67,2.49,3.27,-2.85,20.15,4.36,0.98,0.73,-7.28,2
1.08,-5.66,21.7,-6.05,13.82,7.08,3.69,-6.83,19.09,0.78,2.78,1.27,-2.72,19.43,4.68,4.44,0.39,0.59,2
0.77,-6.22,20.28,3.91,1.56,2.39,3.87,-6.57,19.24,3.47,-1.42,0.68,-2.59,18.95,4.23,4.35,0.63,1.32,2
1.72,-5.84,20.39,4.64,-4.59,0.29,3.41,-6.2,19.51,18.7,6.01,-4.25,-2.43,18.78,4.49,3.27,-2.29,7.86,2
0.78,-6.64,20.52,14.16,-8.3,-3.27,3.75,-6.28,19.92,-2.0,-1.56,0.49,-2.58,18.92,3.86,0.88,1.27,-1.17,2
0.33,-5.68,20.85,-4.64,3.96,2.49,3.77,-5.98,19.7,-0.39,0.1,0.05,-2.4,19.37,4.35,3.27,-0.24,-0.29,2
-10.65,4.5,17.55,60.69,172.12,29.74,3.29,-12.84,15.91,-15.58,-1.12,-4.2,-2.59,20.17,3.78,-9.47,12.79,-8.06,3
-15.29,-4.94,9.82,48.53,-160.74,1.71,3.08,-4.32,11.85,48.14,-26.76,-12.06,-2.29,19.28,5.36,3.32,16.31,11.62,3
39.07,4.3,30.1,-18.99,-186.72,-9.23,6.12,-13.27,22.95,-128.91,17.09,7.91,-2.16,24.79,5.55,-1.47,2.83,-6.49,3
-17.99,0.41,10.73,-22.8,264.55,2.39,2.02,-7.75,18.83,65.82,3.13,6.98,-2.87,14.34,3.49,-14.6,1.9,-7.13,3
-4.11,2.01,11.33,125.24,-338.62,-34.81,3.04,-1.44,20.39,0.63,-5.47,5.47,-2.5,16.58,3.63,11.33,-7.03,8.64,3
-2.94,-4.57,4.22,-146.19,364.79,82.67,1.21,-8.52,16.93,51.03,-9.52,-19.58,-2.15,15.43,5.17,-14.4,4.93,-20.56,3
-12.17,-3.93,10.97,81.64,-257.62,-75.68,5.76,-5.81,18.94,1.22,-3.47,-4.1,-3.19,16.22,3.83,0.24,-2.15,2.54,3
13.0,2.77,15.92,-87.84,343.16,37.5,1.33,-10.51,16.02,19.38,-4.1,11.23,-3.72,17.19,4.57,-28.17,8.79,-32.86,3
-13.73,-2.49,7.1,46.97,-261.43,-92.58,6.86,-4.19,20.11,7.03,-8.2,-8.64,-2.81,16.18,3.6,5.32,-0.49,8.4,3
18.45,-0.04,14.47,-25.68,373.44,50.59,1.48,-11.06,16.52,-17.14,8.69,4.3,-1.77,20.28,6.52,-23.29,8.74,-36.28,3
-15.83,-7.56,8.61,0.2,-146.0,-52.93,4.5,-4.51,18.57,26.37,-3.47,-6.15,-2.27,18.89,3.9,15.67,5.03,20.95,3
29.65,-4.44,32.02,-39.16,178.96,22.56,3.3,-10.93,18.99,-15.43,24.22,18.26,-2.33,18.83,6.44,-14.65,7.37,-20.31,3
-3.96,-4.08,15.81,-40.67,1.51,-8.98,6.34,-6.97,21.79,17.53,-9.86,2.98,-2.34,19.23,4.29,0.34,-3.08,4.88,3
4.73,-2.73,20.62,67.77,-32.28,12.16,4.0,-6.4,19.47,2.29,-3.76,-1.61,-2.92,18.87,4.58,3.81,1.95,-4.44,3
3.52,-7.39,20.09,-18.85,5.81,-2.29,3.88,-6.5,20.12,7.13,3.81,-0.49,-2.59,19.78,4.92,6.25,2.64,1.81,3
2.29,-4.71,21.08,8.5,0.73,1.95,3.83,-6.91,19.74,2.1,-1.86,-1.61,-2.54,19.12,4.67,1.03,-0.15,-0.63,3
1.89,-5.66,20.33,13.04,-14.75,-3.03,3.66,-6.19,19.41,0.39,0.83,0.73,-2.51,19.29,4.85,4.64,-0.1,1.71,3
1.22,-5.8,20.8,-4.0,4.0,2.54,3.84,-6.44,19.57,1.51,-1.81,-3.96,-2.56,18.81,4.63,0.73,-2.1,0.59,3
2.55,-5.75,20.81,3.66,-5.96,-3.12,3.94,-6.39,19.73,-3.37,-0.49,1.27,-2.37,19.15,4.53,-0.78,0.98,-1.71,3
0.99,-5.54,20.43,0.54,-3.08,0.93,3.94,-6.65,19.94,-1.17,-2.05,-0.44,-2.24,18.66,5.02,-1.51,-3.61,-6.59,3
-5.61,-9.46,19.3,3.91,180.37,57.42,-0.33,-10.55,17.0,-13.33,4.79,-2.2,-5.57,18.85,3.04,2.69,1.56,-2.88,4
-20.0,-5.95,11.83,-1.86,-31.69,6.84,0.27,-6.81,16.73,10.6,-20.12,-0.98,-5.41,19.24,2.96,3.12,1.07,-0.73,4
26.96,1.98,28.1,-12.65,-310.64,-49.51,4.69,-6.85,25.35,-133.2,1.07,-25.0,-5.66,18.76,2.45,1.66,1.37,1.12,4
-11.22,-4.7,12.37,93.99,283.54,65.53,-1.41,-9.24,21.94,118.02,19.78,12.06,-5.46,19.44,2.72,1.81,1.42,-1.37,4
-17.2,-5.01,7.48,32.76,-326.27,-75.34,-0.22,-8.0,19.26,-16.94,-6.79,-3.52,-5.6,18.82,2.37,1.81,0.63,0.29,4
9.06,-3.53,12.39,-103.86,440.23,80.66,0.81,-10.58,16.17,103.86,26.42,0.88,-5.34,19.13,3.0,1.46,0.49,1.37,4
-18.94,0.53,9.61,39.55,-199.51,-34.47,0.88,-3.85,17.96,15.04,-11.33,3.56,-5.5,18.93,2.42,2.0,1.03,-0.54,4
19.24,-5.44,27.32,-90.33,225.83,22.56,4.34,-15.89,18.44,-34.47,-4.88,5.76,-5.38,19.13,2.73,0.29,1.32,0.44,4
-22.0,-0.68,9.93,73.88,-95.65,2.88,-3.0,-3.43,16.6,26.12,-10.79,-10.64,-5.35,19.33,2.68,1.56,1.03,-1.03,4
39.07,-9.64,25.76,-88.23,-43.99,1.9,5.06,-17.42,18.42,-61.82,2.0,23.44,-5.42,19.09,2.78,2.39,1.42,-0.1,4
-23.68,2.58,9.86,86.08,-16.5,53.47,-0.61,-6.47,16.96,24.61,0.63,1.81,-5.22,19.42,2.84,1.07,0.78,0.78,4
20.42,-3.57,24.38,-45.75,-305.52,-50.2,2.85,-7.93,22.6,-2.54,-0.1,-3.03,-5.41,19.04,2.62,0.2,1.61,-1.07,4
-4.72,-3.89,19.8,0.83,37.45,-4.59,1.11,-6.92,20.12,-4.88,6.74,2.54,-5.36,18.8,2.76,0.24,0.98,0.59,4
-1.3,-6.19,20.35,-2.39,19.09,8.98,0.75,-6.73,19.65,-15.14,-1.76,2.78,-5.08,19.4,3.19,3.12,1.37,0.2,4
-0.5,-6.69,20.42,-3.91,10.25,4.49,0.81,-7.33,19.58,-9.52,0.54,0.98,-5.34,18.9,2.61,1.22,2.05,-2.88,4
0.55,-5.99,20.3,-1.07,9.81,5.32,0.58,-7.57,19.56,4.74,-0.49,0.0,-5.29,19.27,2.77,2.93,0.1,0.39,4
-1.63,-6.48,20.37,12.11,-9.62,1.66,1.17,-7.61,20.16,-4.98,-2.34,0.83,-5.32,18.83,2.69,1.61,0.88,-2.64,4
-0.96,-6.94,20.86,-5.96,2.88,2.59,0.75,-7.45,19.58,2.39,0.78,-0.29,-5.41,18.88,2.69,1.71,0.98,-0.63,4
-1.32,-6.88,20.27,3.27,-2.15,0.39,0.98,-7.35,19.88,3.52,-1.17,-1.07,-5.34,18.95,2.46,1.61,1.22,-2.2,4
-0.55,-6.41,20.7,3.76,-5.57,-0.73,1.07,-7.53,19.92,-6.25,-2.0,1.61,-5.23,19.24,2.78,2.39,0.15,0.2,4
-12.79,-6.71,16.97,55.52,176.22,68.6,-0.04,-11.77,16.91,-30.08,2.39,-1.81,-5.53,17.22,2.22,-17.04,11.08,-4.2,5
-17.08,-2.71,10.9,21.73,-128.91,-19.38,2.74,-4.9,17.78,46.09,-24.66,4.35,-5.99,16.92,1.97,-1.32,-0.93,10.45,5
31.69,-4.9,30.69,-76.66,39.79,-13.67,5.6,-3.95,23.38,-88.04,-3.08,-22.02,-3.61,24.26,3.6,10.25,0.98,0.54,5
-30.62,-9.23,13.02,39.21,63.96,44.63,0.37,-10.27,18.29,98.88,22.36,9.91,-4.94,16.99,4.5,-3.71,4.35,-3.12,5
0.28,0.97,10.76,37.3,-392.24,-65.33,0.64,-7.13,18.47,-16.7,-9.52,-4.49,-5.49,20.81,2.51,11.67,-3.22,12.94,5
-9.16,-17.63,9.4,-37.79,352.29,135.5,3.4,-13.99,16.95,20.8,14.01,4.93,-4.67,17.28,4.5,-14.99,2.05,-6.84,5
-15.02,-1.18,9.93,-12.45,-255.47,-64.01,-3.28,-4.31,20.26,17.87,-1.95,-3.17,-5.73,16.3,1.79,4.88,-3.71,12.21,5
4.22,-9.14,11.67,-74.17,369.92,108.84,5.15,-16.24,18.51,-58.2,-2.15,10.3,-4.21,19.96,4.88,-6.01,-2.25,-13.48,5
-16.45,-0.17,10.67,7.28,-183.5,-49.51,-0.93,-8.26,16.62,18.51,-0.73,-0.39,-6.8,14.25,1.49,-4.15,3.56,3.86,5
19.84,-8.39,28.29,-59.08,241.55,45.41,4.54,-14.49,24.63,-143.41,-5.52,-17.92,-3.51,22.42,4.38,0.63,1.56,-14.79,5
-21.23,-0.05,10.46,37.26,-83.3,3.52,3.68,-7.32,19.3,26.07,-29.98,9.81,-6.25,16.23,1.31,2.69,11.08,-6.59,5
39.07,-9.38,28.72,-55.37,-0.98,-4.44,4.54,-7.58,24.04,-30.66,5.03,-0.49,-4.19,20.68,4.51,-9.33,4.88,-19.09,5
-11.74,0.28,15.11,136.82,-24.46,5.13,-1.63,-5.34,17.64,15.19,5.81,5.86,-5.97,16.68,2.12,0.78,1.27,1.42,5
1.79,-4.89,21.8,-54.49,-8.94,-24.17,0.4,-6.7,21.36,-27.59,-15.28,-1.86,-5.29,19.7,2.83,-0.0,-0.83,-0.68,5
-0.23,-7.48,21.77,3.08,-21.58,-6.84,1.24,-7.77,19.93,-11.43,-3.66,1.17,-5.41,18.96,3.17,1.95,0.98,-3.47,5
-1.74,-7.88,19.83,0.78,-1.61,2.39,0.79,-7.86,19.35,1.07,-2.98,-1.03,-5.7,18.54,2.93,3.86,-0.93,4.83,5
-1.39,-7.28,20.35,13.33,-13.53,-3.56,1.52,-6.61,19.79,16.21,-1.22,-1.32,-5.31,19.55,2.41,2.2,1.76,4.49,5
0.41,-5.87,21.99,7.47,-9.37,-2.44,1.6,-7.13,20.81,-13.18,-2.54,1.81,-5.01,19.57,2.77,-0.83,0.63,-1.27,5
-1.02,-7.23,20.57,3.03,-4.35,0.1,0.99,-6.84,19.72,-1.86,-0.63,-0.34,-5.15,18.72,3.2,1.22,0.83,0.88,5
-1.45,-6.91,20.38,-0.2,-0.39,-2.34,1.38,-7.29,19.92,-2.1,-2.88,0.39,-4.93,19.12,3.29,1.86,1.61,-1.07,5
-8.24,-7.87,16.53,102.29,197.95,84.77,0.79,-11.65,15.43,-55.37,1.42,-0.39,-5.12,21.28,3.09,9.91,13.43,-2.54,6
-22.24,-14.8,10.14,-31.88,-41.21,-1.66,-0.61,-9.36,19.49,143.02,10.74,-8.89,-5.6,18.03,4.32,-10.35,-0.78,24.9,6
26.1,4.97,25.96,8.45,-412.45,-58.3,4.59,-9.76,22.08,-28.32,-19.38,-3.42,-4.5,25.42,1.76,22.36,-5.52,16.75,6
-18.09,-11.64,9.89,54.3,368.99,90.72,-1.08,-9.1,14.17,35.64,34.91,13.96,-5.06,17.24,1.79,-23.24,8.4,-18.12,6
-15.98,-4.31,7.38,21.44,-272.75,-52.44,-2.42,-7.17,14.87,30.57,-1.22,-6.49,-6.32,14.29,2.55,1.42,-7.32,11.91,6
27.01,-4.44,26.92,-134.57,358.25,48.19,6.57,-22.49,28.1,-168.95,-0.68,-25.93,-2.85,23.82,5.57,-0.2,3.66,-8.4,6
-15.68,-0.31,13.11,60.89,-40.58,12.6,-1.43,-5.31,18.7,96.44,7.18,22.8,-5.52,13.69,2.65,-12.84,9.08,-8.01,6
25.36,-1.81,28.22,-1.22,-285.21,-60.64,2.86,-8.75,21.31,-11.33,-14.26,-5.27,-3.53,23.22,3.42,21.87,-7.62,13.77,6
-19.69,-6.65,12.77,108.35,264.36,76.37,2.96,-13.44,15.9,33.15,11.77,8.5,-4.66,16.74,3.76,-24.71,6.3,-14.89,6
-7.26,-1.09,7.65,27.88,-371.39,-89.65,-1.09,-8.74,17.16,13.77,-11.96,-5.27,-5.92,14.08,1.22,9.72,-5.81,22.61,6
6.92,-15.05,17.28,-111.04,397.56,141.89,7.39,-18.63,18.44,-89.45,-4.05,22.27,-3.3,21.22,5.65,-9.62,7.91,-30.62,6
-18.26,-3.28,9.51,1.81,-177.69,-37.01,2.74,-8.53,17.77,26.81,-13.23,13.28,-6.21,13.64,1.33,-2.2,8.84,3.61,6
19.46,-9.32,25.03,-63.57,141.94,22.41,4.35,-10.53,23.38,4.49,23.24,-0.1,-3.2,21.6,5.14,6.79,-2.73,-1.12,6
-1.11,-3.67,19.93,14.31,1.66,-3.08,1.35,-6.56,19.01,8.3,-5.03,-3.37,-4.92,18.16,3.12,-15.38,-18.75,-19.82,6
-3.01,-8.0,19.73,15.48,-8.5,2.64,0.66,-6.87,19.71,-13.77,-5.91,1.56,-5.06,18.69,4.08,3.71,6.45,2.1,6
-1.24,-9.05,20.02,-4.44,-5.32,-1.56,1.24,-7.56,20.11,2.49,0.59,-1.51,-4.88,18.95,3.7,3.66,-0.29,0.39,6
-1.62,-8.53,19.91,3.08,-2.64,1.46,1.07,-6.87,20.03,2.0,-0.49,0.24,-4.9,19.25,3.48,3.81,2.0,0.68,6
-1.85,-8.05,19.88,9.67,-3.91,1.46,1.05,-6.11,19.64,6.69,0.44,-0.63,-4.86,19.24,3.45,3.86,-0.73,1.9,6
-1.71,-8.2,20.66,2.49,-5.03,-1.03,1.28,-6.58,20.19,-5.32,-1.27,0.59,-4.7,19.31,3.4,0.54,1.9,-1.81,6
-1.96,-8.2,20.14,1.51,-2.88,-0.2,0.83,-6.42,19.57,1.17,0.2,-0.54,-4.73,18.64,3.38,1.76,0.88,0.29,6
-17.85,-5.09,11.21,31.3,-122.95,-4.83,2.42,-2.91,18.6,24.9,-17.19,-8.69,-5.22,14.49,4.05,0.93,-2.78,15.23,7
39.07,-4.95,27.6,-77.83,-110.25,-24.41,4.96,-16.9,17.61,-69.78,4.2,12.89,-3.54,22.52,4.46,0.24,8.74,-33.98,7
-28.57,0.97,9.85,51.17,180.22,43.12,0.36,-6.89,16.02,43.55,-11.82,5.22,-5.98,14.44,2.24,6.88,3.71,7.81,7
-6.17,-0.51,7.21,60.45,-372.75,-74.85,6.88,-4.2,25.63,-94.48,-7.52,-19.09,-2.98,25.88,4.61,19.63,-2.93,12.84,7
3.31,-10.09,10.56,-71.58,388.96,109.81,-2.33,-6.81,19.34,106.69,20.56,15.92,-4.68,16.05,4.33,-16.16,-9.13,-13.96,7
-16.9,-5.66,9.2,2.49,-193.8,-22.95,0.78,-11.57,20.68,-28.96,0.34,1.61,-5.6,18.34,3.11,13.72,-7.47,27.25,7
25.97,-4.48,26.67,-47.56,273.34,34.38,2.32,-14.32,16.22,16.41,13.92,8.98,-4.24,18.79,5.0,-8.5,9.91,-22.22,7
-19.07,-2.71,10.69,55.47,-0.49,30.22,-5.05,-3.9,15.55,39.7,-8.15,-16.02,-6.49,15.5,1.44,3.47,5.76,13.18,7
24.08,-8.2,28.58,-23.49,-349.41,-65.09,3.93,-17.05,22.06,-128.42,-4.74,6.88,-2.44,24.36,4.76,2.1,-4.3,-13.82,7
-27.77,-7.25,12.9,76.17,300.05,82.08,2.78,-8.38,18.17,16.6,-9.28,-2.83,-3.76,15.15,5.73,-11.08,-3.52,9.96,7
-4.98,-1.61,9.64,6.64,-394.43,-71.04,5.3,-5.59,23.25,-74.41,9.08,-9.86,-2.81,24.65,5.35,5.18,3.66,-8.89,7
-0.13,-18.02,17.48,-7.81,282.67,129.35,-0.65,-6.97,17.36,32.37,-2.25,28.47,-5.14,17.2,2.96,6.59,13.09,1.32,7
-7.5,0.63,16.56,-33.94,-87.06,-28.37,1.15,-7.36,19.87,-7.81,-8.01,-0.54,-4.58,20.38,4.1,-0.0,-8.84,-7.42,7
-6.45,-11.29,19.53,-50.0,19.63,2.25,1.48,-7.13,19.8,1.46,1.51,-1.22,-4.55,19.12,4.72,5.91,4.49,2.59,7
-2.49,-8.73,19.99,2.59,5.47,1.76,1.17,-6.23,19.61,3.61,2.1,0.1,-4.69,18.82,4.13,4.74,3.52,1.42,7
-2.8,-8.24,19.92,7.62,-0.83,1.71,1.34,-6.23,20.09,8.54,-0.44,-0.73,-4.67,19.01,3.71,5.71,0.2,2.1,7
-2.82,-8.63,19.68,12.06,-7.47,-0.59,1.6,-6.1,20.55,1.81,-1.81,-0.83,-4.52,19.1,3.37,1.61,0.29,1.9,7
-2.41,-8.19,20.22,2.98,-4.35,-0.15,1.1,-6.31,19.9,-2.34,-3.22,-0.93,-4.25,18.76,3.86,-0.05,-0.44,0.88,7
-2.55,-7.94,19.55,-0.39,-3.61,-1.61,1.53,-6.75,20.46,-1.03,-3.17,-0.39,-4.26,19.46,3.79,1.56,1.61,1.12,7
-2.84,-9.73,19.93,-4.25,-1.9,0.0,1.4,-6.05,19.96,-2.73,-3.27,1.22,-4.29,18.96,3.68,0.2,3.37,0.15,7
-9.81,2.65,16.21,33.01,202.39,32.76,0.86,-10.53,18.74,114.89,19.82,7.28,-3.73,18.3,4.81,-2.98,-2.25,8.3,8
-16.46,-3.44,10.9,27.39,-181.15,-8.59,3.08,-7.73,20.56,-10.6,-13.53,0.78,-3.28,19.22,4.72,26.37,-9.08,15.63,8
27.07,-3.97,31.85,-85.84,148.14,-0.59,2.25,-13.62,16.35,-14.21,22.12,12.6,-4.13,18.06,4.05,-18.99,10.45,-34.96,8
-20.46,-0.57,12.77,45.8,55.47,21.63,1.19,-6.57,17.48,32.18,-9.77,14.11,-5.38,16.0,3.3,15.67,-0.29,5.66,8
-6.65,-2.05,11.76,35.3,-314.7,-65.04,4.53,-2.14,23.44,-69.78,-5.52,-14.75,-3.14,24.99,4.37,11.91,-0.2,7.37,8
-1.0,-14.92,11.2,-90.14,336.38,117.68,0.51,-2.56,16.92,62.55,-14.89,15.09,-4.08,18.23,4.74,-1.81,5.22,0.78,8
-12.13,-0.5,9.08,12.35,-274.46,-54.05,3.21,-4.41,20.23,15.58,-4.79,16.02,-5.2,22.06,2.51,17.19,-0.88,9.08,8
18.55,-2.66,18.37,-59.42,351.81,73.58,0.22,-10.45,16.59,80.96,26.51,7.57,-3.92,19.58,3.8,-14.6,2.49,-17.48,8
-18.73,-2.62,12.08,18.41,-76.66,-12.06,1.39,-5.41,16.1,4.98,-7.67,-9.37,-5.53,14.88,3.65,3.22,-5.08,15.28,8
39.07,-2.85,24.57,-40.48,-80.32,-27.69,4.14,-17.33,17.65,17.28,11.23,10.11,-3.49,21.24,4.13,-5.57,4.98,-23.24,8
-24.2,-3.33,10.51,127.69,35.94,57.47,-4.17,-3.96,15.67,19.53,-21.24,-3.91,-5.86,14.05,2.65,2.78,3.08,10.84,8
33.5,-2.0,28.28,-33.94,-378.61,-53.12,3.8,-10.44,21.77,13.13,22.95,5.52,-2.22,22.46,5.33,0.49,3.08,-4.2,8
-20.22,-9.3,16.91,66.31,179.49,53.32,1.64,-2.6,20.1,-1.71,-20.85,-4.64,-4.57,18.43,2.78,10.3,0.24,-5.18,8
0.85,-8.45,21.29,-107.08,-39.75,-29.69,1.46,-5.89,19.98,2.98,-3.22,0.54,-4.13,20.44,3.59,6.54,1.51,-4.05,8
-0.64,-5.92,20.66,10.94,-11.13,-1.22,1.36,-6.38,19.66,2.59,-3.12,-1.86,-4.28,18.61,3.46,1.27,-0.44,0.59,8
-1.39,-6.81,19.93,1.07,-4.0,-0.05,2.64,-5.68,20.63,15.43,-3.32,0.59,-3.93,19.81,3.55,2.59,1.03,3.13,8
0.28,-7.1,20.96,12.3,-19.38,-4.39,1.94,-5.8,20.16,-2.73,1.66,1.42,-4.14,19.2,3.04,0.15,2.54,-3.08,8
0.05,-6.65,20.55,-14.11,10.25,4.83,1.92,-5.63,20.27,0.24,-0.73,-0.54,-3.83,19.85,3.66,2.78,-1.07,-0.2,8
0.45,-6.4,20.95,2.25,-5.18,-1.81,1.91,-6.18,20.33,6.05,-0.44,-1.07,-4.13,18.97,3.19,1.22,0.54,0.29,8
-1.07,-7.65,20.37,-11.08,2.15,-0.49,1.99,-6.09,20.41,-0.24,-2.93,-0.44,-4.04,19.21,3.51,1.86,0.93,0.24,8
-5.75,-11.47,18.52,33.45,203.91,77.69,2.37,-8.89,21.02,-127.83,4.74,-14.7,-3.74,19.81,4.0,-2.93,6.54,-6.84,9
