ACC-X-Ring1,ACC-Y-Ring1,ACC-Z-Ring1,GYRO-X-Ring1,GYRO-Y-Ring1,GYRO-Z-Ring1,ACC-X-Ring2,ACC-Y-Ring2,ACC-Z-Ring2,GYRO-X-Ring2,GYRO-Y-Ring2,GYRO-Z-Ring2,ACC-X-Ring3,ACC-Y-Ring3,ACC-Z-Ring3,GYRO-X-Ring3,GYRO-Y-Ring3,GYRO-Z-Ring3,TEST
-0.97,0.93,19.25,-62.55,3.56,-101.95,3.36,-18.33,16.1,-22.31,-9.47,-44.29,-4.43,20.1,9.41,-0.73,-35.06,14.4,1
-4.08,1.41,19.97,-47.61,2.64,-147.12,1.94,-17.09,13.59,2.25,4.59,-4.1,-3.69,19.62,9.49,27.05,2.64,6.25,1
1.88,-8.56,20.83,-18.07,21.53,-135.69,1.76,-18.27,14.5,9.03,-6.49,37.99,-1.21,15.44,8.74,10.79,37.06,6.79,1
2.64,-11.23,18.96,-19.87,-10.21,-37.01,-0.77,-17.63,18.64,23.1,-33.15,108.11,-3.62,18.45,6.24,37.16,78.56,3.32,1
2.3,-13.73,16.64,2.34,2.93,6.05,-0.07,-11.24,17.01,24.17,-37.11,105.81,-6.7,23.47,4.11,20.56,92.04,-12.65,1
4.08,-15.77,17.45,23.39,3.56,50.73,0.31,-12.9,19.5,5.32,-46.58,85.99,-9.95,18.59,1.96,-23.88,91.21,-3.86,1
0.62,-10.64,19.8,79.2,-18.26,97.12,0.63,-11.75,19.19,29.25,-52.98,82.08,-7.51,16.98,1.36,-0.34,73.05,6.4,1
0.25,-5.16,20.24,54.78,-7.81,102.2,0.62,-4.67,18.48,13.28,-44.29,64.99,-10.45,17.72,-1.69,-57.23,80.42,-2.25,1
-0.76,-4.58,21.02,46.04,-20.7,87.89,3.58,-5.28,18.28,19.58,-14.79,36.23,-11.28,15.68,-0.36,1.66,44.38,-6.84,1
1.99,-3.03,21.98,44.82,-36.67,89.89,2.42,-6.76,21.27,-1.03,-10.55,12.01,-11.67,16.03,-1.29,-19.04,17.87,4.44,1
0.66,2.91,20.96,33.3,-0.78,80.27,1.19,-6.73,19.93,-0.68,-1.03,4.88,-10.13,18.65,-0.33,-6.1,7.57,-0.73,1
-1.09,3.03,20.85,21.53,15.43,35.35,1.03,-8.37,19.46,0.68,-1.95,8.01,-9.84,18.0,0.93,2.15,8.3,-2.05,1
1.91,0.7,21.93,-1.42,-3.32,12.74,-0.13,-7.99,18.71,8.54,-13.62,10.3,-8.64,16.35,1.43,4.64,14.84,3.76,1
1.03,-0.42,21.49,-7.52,2.64,5.86,1.86,-6.55,20.59,5.37,-18.51,7.18,-9.05,18.03,-0.18,10.89,16.6,13.72,1
0.93,-1.71,21.3,-8.94,4.44,5.76,2.51,-7.38,20.74,-0.78,6.59,3.71,-9.84,19.23,-0.2,-5.96,7.76,-3.08,1
-0.7,-1.07,20.33,7.42,-7.08,13.67,-0.57,-8.09,18.26,-3.56,10.99,-1.22,-9.59,17.0,0.5,-5.13,-2.98,-12.35,1
0.61,0.77,22.35,8.01,-17.58,11.62,0.13,-9.61,19.29,-8.5,2.29,1.61,-10.29,16.79,1.0,-4.74,2.1,-3.12,1
1.23,-0.32,22.2,-2.78,9.57,5.42,-1.94,-8.03,17.21,6.2,-5.52,-1.46,-8.9,15.49,0.4,16.41,-5.27,-2.98,1
-1.33,-1.91,20.23,-5.96,18.75,-1.17,2.34,-7.25,21.16,5.81,-8.45,-4.79,-10.52,16.35,-0.95,2.73,8.69,11.82,1
0.04,-2.61,21.16,-1.07,5.57,2.44,2.2,-7.79,19.76,1.17,9.08,-0.24,-9.77,20.53,-1.0,-12.6,-0.54,-4.74,1
1.57,-6.11,20.4,-35.89,-14.21,-50.2,6.81,-15.39,15.33,-4.88,-12.74,-2.54,-6.75,20.27,3.83,3.81,6.64,3.22,2
1.77,-8.14,19.56,-12.16,-3.03,-23.93,6.74,-13.55,14.67,12.16,-11.91,16.89,-5.97,18.94,2.98,-3.37,23.44,1.27,2
4.46,-11.12,19.36,-7.52,-11.04,-3.17,7.05,-13.76,16.44,4.83,-9.86,72.17,-8.51,21.29,2.23,-19.78,45.7,-2.88,2
4.13,-8.32,18.73,10.2,-4.88,20.36,5.3,-10.33,14.31,55.27,-33.45,74.9,-5.77,19.6,1.11,-3.08,71.63,6.2,2
4.31,-9.73,21.13,8.84,25.34,77.78,3.41,-14.1,17.21,42.77,-28.86,85.45,-7.45,22.18,0.41,21.53,86.28,-7.13,2
3.37,-8.77,18.53,27.44,-32.13,69.82,2.5,-12.47,16.53,4.88,-36.23,78.27,-5.36,22.08,-0.23,-1.17,80.62,-5.22,2
3.93,-10.0,19.22,33.01,-8.01,73.58,3.81,-10.94,18.95,10.55,-51.81,65.77,-8.03,19.25,-2.24,-10.69,77.34,-1.22,2
4.08,-5.98,18.94,32.62,-1.51,91.26,4.59,-10.06,18.27,2.39,-39.84,42.53,-8.39,19.4,-1.69,-10.55,53.76,3.47,2
1.87,-4.23,20.47,10.01,-20.51,74.8,5.28,-10.23,18.98,7.62,-15.14,18.46,-8.44,19.22,-1.81,2.2,27.34,0.29,2
1.32,-2.74,20.37,18.95,-15.48,61.08,6.44,-8.92,16.94,28.32,-25.88,26.42,-5.84,17.7,-0.94,-5.52,16.36,-3.52,2
3.09,-3.07,21.8,11.96,-11.43,24.61,4.22,-10.02,18.52,7.18,-1.61,10.64,-7.65,18.92,-1.41,-4.25,13.09,-2.73,2
2.01,-4.17,18.07,6.74,-2.98,26.86,4.18,-9.08,18.09,2.0,-1.95,3.27,-7.68,19.31,-0.99,4.2,4.79,-2.78,2
2.36,-2.13,21.03,10.69,-0.49,11.13,2.91,-9.71,18.12,3.32,-0.98,0.59,-7.35,18.78,-1.04,4.98,3.66,1.95,2
1.83,-2.71,21.2,6.45,-0.68,4.74,3.44,-10.01,18.05,1.12,4.25,1.76,-7.37,18.48,-0.64,2.1,5.22,-0.83,2
1.7,-4.29,20.63,8.11,-2.44,0.49,4.27,-9.92,18.26,1.46,-4.25,3.61,-7.69,18.25,-0.79,-2.34,8.89,-0.34,2
2.41,-4.61,20.99,2.93,-0.63,5.27,3.09,-9.72,18.47,-4.44,1.61,0.68,-8.07,19.13,-0.75,2.54,3.08,0.93,2
1.7,-3.59,20.72,4.1,-2.93,8.06,3.3,-9.53,18.07,-3.32,-0.49,-0.15,-7.7,18.41,-0.83,5.42,4.0,0.15,2
2.45,-3.61,21.61,10.16,-6.05,2.59,3.64,-9.95,18.3,2.54,-3.08,3.32,-7.19,18.43,-1.17,0.59,3.81,-0.44,2
1.67,-4.82,20.84,-1.07,-1.9,1.71,3.92,-9.01,18.2,-0.1,0.78,1.81,-7.26,18.43,-0.99,-0.44,5.13,-2.78,2
2.63,-4.35,20.72,3.71,-2.78,2.39,4.56,-9.63,18.71,0.34,-2.05,5.42,-7.12,19.64,-1.16,5.66,4.93,-1.27,2
3.78,-5.71,21.23,-56.79,9.67,-99.76,3.36,-6.9,19.69,-2.34,0.1,0.39,-4.14,18.04,4.81,13.04,52.54,-2.93,3
2.31,-8.19,17.46,-33.45,10.3,-32.76,4.54,-7.06,19.38,-0.39,-4.25,1.27,-7.63,20.8,2.19,21.87,64.26,-11.13,3
2.41,-11.28,17.9,-30.42,6.45,-38.33,3.7,-6.94,19.93,-1.03,2.44,2.34,-8.03,23.41,-1.18,15.58,78.96,-20.51,3
4.11,-13.35,17.34,-21.24,-7.37,-32.32,3.67,-6.55,19.83,-0.05,0.59,2.39,-9.58,20.47,-3.22,-3.17,73.44,-10.11,3
6.01,-20.43,19.06,-31.84,-12.55,-12.3,3.66,-5.95,19.64,1.27,-0.78,-1.42,-8.86,19.4,-3.63,-25.1,57.32,-5.57,3
6.05,-15.47,15.3,18.07,-8.2,29.15,2.63,-6.35,19.45,4.05,3.61,-1.46,-9.42,17.17,-4.42,-35.94,61.43,-7.96,3
4.16,-11.84,17.11,50.78,-12.45,50.39,3.47,-7.66,19.91,1.51,1.32,-1.42,-10.8,15.85,-7.09,-15.92,46.88,-3.91,3
5.66,-9.33,19.12,51.07,-21.73,49.61,3.27,-7.52,19.91,-1.47,-0.15,1.03,-8.17,16.28,-6.97,-14.75,27.39,4.44,3
4.06,-8.41,18.7,30.66,-27.64,66.65,3.64,-6.73,20.14,-1.56,0.24,1.42,-7.89,16.93,-6.4,-3.37,6.54,1.81,3
4.78,-9.41,20.09,27.88,-25.29,46.24,3.5,-5.79,19.61,-3.08,-0.54,-0.1,-7.79,17.7,-5.37,-3.96,6.88,-2.0,3
4.6,-8.61,19.72,37.6,-13.57,63.77,3.85,-5.83,19.79,-0.54,-0.2,1.81,-7.01,18.39,-4.92,1.76,1.81,-2.44,3
2.84,-2.89,19.6,40.48,0.2,58.59,3.5,-6.07,20.12,1.9,-0.05,0.73,-7.46,17.96,-4.53,-4.74,6.25,-3.32,3
3.08,0.81,20.48,29.2,-4.54,34.86,2.94,-6.46,19.97,0.29,-0.29,-0.1,-7.64,18.69,-4.89,-1.27,3.22,-2.78,3
3.82,1.15,21.55,12.26,-5.03,14.75,3.5,-6.64,19.97,-0.54,-0.98,-2.15,-8.16,16.92,-4.8,0.78,3.17,-2.15,3
3.22,0.39,21.2,3.17,1.51,0.2,3.22,-6.47,19.76,-6.49,1.07,0.78,-8.06,16.69,-5.06,5.81,2.25,0.68,3
2.21,-4.56,25.66,6.2,10.84,6.49,3.65,-6.11,19.95,-0.2,-0.44,-0.44,-7.34,18.09,-5.31,6.79,5.62,-0.05,3
2.14,-0.19,21.18,3.03,2.83,0.88,3.42,-6.43,20.01,3.22,-1.07,0.34,-7.42,17.54,-5.32,5.62,2.34,-1.56,3
2.7,-0.58,20.77,7.23,2.44,3.71,3.77,-6.32,19.71,2.73,1.76,-1.51,-7.74,18.15,-5.28,1.56,2.1,-2.25,3
2.79,0.02,21.09,1.71,-1.12,4.39,4.21,-6.22,19.95,0.63,-0.78,0.15,-7.83,18.48,-5.22,1.76,0.78,-0.39,3
2.18,-0.6,20.85,1.56,0.49,1.12,3.33,-6.56,19.83,-1.61,-2.0,0.54,-7.81,18.67,-4.99,5.76,0.1,0.24,3
1.47,6.87,20.46,19.78,33.59,-83.4,11.33,-5.68,18.94,-49.61,21.34,-79.88,-4.55,16.65,4.3,-21.44,-52.29,-0.39,4
7.63,0.65,22.44,-56.25,11.67,-139.89,9.76,-6.27,18.95,-71.0,61.28,-139.79,-3.37,17.04,8.14,-15.09,-40.28,1.37,4
4.95,-4.76,20.76,-91.8,13.57,-110.64,3.22,-10.94,15.11,-86.08,58.06,-99.17,-1.79,16.84,10.33,4.64,-1.17,2.73,4
2.4,-7.69,18.73,-47.9,2.44,-40.97,5.05,-13.85,15.56,-57.47,11.33,-37.89,-3.23,21.94,7.57,33.4,48.29,4.39,4
2.76,-11.94,16.61,-51.17,-6.01,-41.02,5.74,-18.56,12.93,-53.13,5.42,-39.4,-4.73,20.6,3.61,25.34,72.66,3.71,4
4.82,-14.64,15.74,0.05,-3.91,-3.12,6.15,-19.8,10.84,6.3,-3.22,-1.51,-3.91,19.62,0.21,8.45,86.77,-6.15,4
5.18,-15.42,15.44,49.85,-0.59,52.54,6.6,-18.43,11.3,34.52,-36.04,53.22,-6.9,20.05,-4.56,-4.05,87.74,-12.55,4
2.88,-6.32,17.86,104.2,-22.9,78.81,8.84,-9.6,13.48,105.91,-46.63,68.65,-5.14,18.09,-5.17,-7.13,80.66,-8.69,4
6.19,-3.67,16.36,114.65,-3.27,81.84,9.8,-10.01,16.12,72.46,-29.79,76.56,-4.83,19.2,-4.58,0.68,64.89,-4.0,4
