ACC-X-Ring1,ACC-Y-Ring1,ACC-Z-Ring1,GYRO-X-Ring1,GYRO-Y-Ring1,GYRO-Z-Ring1,ACC-X-Ring2,ACC-Y-Ring2,ACC-Z-Ring2,GYRO-X-Ring2,GYRO-Y-Ring2,GYRO-Z-Ring2,ACC-X-Ring3,ACC-Y-Ring3,ACC-Z-Ring3,GYRO-X-Ring3,GYRO-Y-Ring3,GYRO-Z-Ring3,TEST
-15.39,-2.46,-8.99,-22.95,-181.05,-61.13,-1.6,2.65,-19.59,0.24,-0.34,0.05,9.46,-12.73,13.83,-1.27,0.39,-1.42,1
-12.9,-6.38,6.49,66.31,-300.63,-32.71,-1.6,2.65,-19.61,0.05,-0.29,0.05,9.46,-12.71,13.88,-1.37,0.49,-1.37,1
-2.64,-1.85,30.62,80.76,-242.29,8.01,-1.59,2.65,-19.58,-0.44,-0.29,0.05,9.49,-12.76,13.83,-1.42,0.44,-1.12,1
1.32,1.52,30.49,-26.76,-60.79,14.75,-1.61,2.64,-19.6,0.05,-0.24,0.05,9.45,-12.69,13.84,-1.27,0.39,-1.22,1
-0.31,-0.11,19.72,1.9,0.49,6.35,-1.64,2.65,-19.58,-0.24,-0.24,0.05,9.46,-12.73,13.87,-1.32,0.34,-1.22,1
0.2,-1.93,22.14,-7.37,-1.66,-0.1,-1.62,2.63,-19.6,-0.44,-0.29,0.05,9.48,-12.77,13.86,-1.37,0.49,-1.22,1
-0.07,-1.95,21.25,-20.9,-4.54,-0.78,-1.63,2.68,-19.53,-0.24,-0.24,0.0,9.48,-12.77,13.84,-1.32,0.34,-1.07,1
0.2,-1.21,20.64,1.61,0.98,4.25,-1.6,2.65,-19.57,-0.24,-0.29,0.05,9.47,-12.74,13.86,-1.32,0.44,-1.27,1
0.09,-1.75,20.86,3.91,-0.2,0.15,-1.6,2.64,-19.61,-0.0,-0.2,0.05,9.47,-12.77,13.84,-1.32,0.34,-1.17,1
0.24,-1.45,21.09,1.56,-1.46,0.34,-1.6,2.7,-19.63,-0.15,-0.29,0.05,9.46,-12.74,13.86,-1.27,0.44,-1.22,1
0.09,-2.04,21.21,1.61,-2.73,0.54,-1.57,2.61,-19.56,-0.24,-0.29,0.05,9.48,-12.75,13.85,-1.32,0.39,-1.22,1
0.19,-1.81,21.08,3.66,-3.27,1.37,-1.61,2.67,-19.59,-0.2,-0.24,0.0,9.5,-12.77,13.84,-1.17,0.34,-1.37,1
0.23,-2.02,20.93,0.78,-0.54,0.15,-1.65,2.68,-19.55,-0.39,-0.29,0.05,9.48,-12.7,13.82,-1.12,0.34,-1.32,1
0.17,-2.51,21.02,-0.0,-1.03,0.68,-1.59,2.61,-19.59,0.15,-0.24,0.05,9.5,-12.73,13.82,-1.37,0.59,-1.32,1
0.28,-1.98,21.39,-0.44,-0.93,1.56,-1.65,2.7,-19.61,0.34,-0.34,0.0,9.49,-12.76,13.83,-1.27,0.39,-1.22,1
0.44,-1.81,21.23,0.68,-1.22,-0.54,-1.6,2.63,-19.57,-0.05,-0.24,0.0,9.44,-12.64,13.89,-1.17,0.44,-1.46,1
0.06,-2.32,20.99,-0.2,-1.12,1.22,-1.6,2.6,-19.6,0.1,-0.24,0.05,9.49,-12.78,13.81,-1.27,0.34,-1.12,1
0.34,-2.13,21.07,0.29,-1.07,0.44,-1.66,2.7,-19.57,-0.39,-0.34,0.05,9.46,-12.71,13.87,-1.32,0.39,-1.17,1
0.45,-2.2,21.39,0.39,-1.76,1.12,-1.59,2.64,-19.58,-0.39,-0.34,0.05,9.43,-12.74,13.83,-1.32,0.39,-1.12,1
0.35,-2.27,20.92,-0.1,-0.88,0.1,-1.62,2.67,-19.56,-0.44,-0.29,0.0,9.49,-12.77,13.8,-1.32,0.44,-1.17,1
-17.42,1.37,-9.99,1.27,-130.13,-36.47,-1.63,2.62,-19.6,-0.05,-0.34,0.05,9.5,-12.75,13.81,-1.32,0.39,-1.12,2
-12.84,1.14,-0.06,33.74,-232.67,-38.77,-1.63,2.61,-19.58,0.2,-0.29,0.05,9.49,-12.76,13.82,-1.27,0.39,-1.17,2
-5.65,0.49,20.53,85.45,-222.12,-18.02,-1.64,2.63,-19.59,-0.05,-0.34,0.0,9.51,-12.75,13.82,-1.22,0.44,-1.37,2
1.62,1.51,27.58,-37.35,-58.84,-5.03,-1.66,2.62,-19.57,-0.39,-0.29,0.05,9.45,-12.73,13.82,-1.27,0.34,-1.27,2
-0.93,-5.03,22.88,-10.3,-8.4,-1.27,-1.65,2.66,-19.56,-0.54,-0.24,0.05,9.49,-12.77,13.82,-1.37,0.34,-1.22,2
-0.83,-2.74,20.56,1.32,-7.03,-0.44,-1.6,2.66,-19.54,-0.49,-0.24,0.05,9.49,-12.72,13.79,-1.27,0.29,-1.27,2
0.19,-3.18,21.87,-6.2,-2.73,-0.34,-1.6,2.66,-19.54,-0.44,-0.29,0.05,9.5,-12.74,13.8,-1.22,0.39,-1.27,2
-0.01,-4.51,21.56,3.86,-6.4,-2.88,-1.6,2.66,-19.53,-0.24,-0.29,0.05,9.48,-12.76,13.8,-1.22,0.44,-1.27,2
0.3,-3.16,21.17,0.83,-3.17,-1.27,-1.59,2.64,-19.56,-0.24,-0.29,0.0,9.46,-12.73,13.83,-1.22,0.39,-1.27,2
0.19,-3.45,21.54,-1.03,-2.05,1.9,-1.66,2.68,-19.57,-0.05,-0.29,0.0,9.44,-12.77,13.8,-1.37,0.49,-1.46,2
0.31,-2.91,21.42,0.49,-2.29,4.05,-1.61,2.65,-19.61,0.2,-0.29,0.05,9.47,-12.75,13.83,-1.27,0.34,-1.17,2
0.32,-3.62,21.66,-3.66,-2.0,1.9,-1.59,2.62,-19.61,0.24,-0.24,0.05,9.48,-12.72,13.83,-1.27,0.34,-1.17,2
0.05,-4.26,21.05,-0.63,-1.32,0.68,-1.62,2.64,-19.6,0.05,-0.24,0.0,9.46,-12.74,13.81,-1.27,0.34,-1.27,2
0.28,-3.79,21.26,0.54,-2.59,-0.83,-1.62,2.64,-19.59,-0.2,-0.24,0.05,9.48,-12.76,13.79,-1.27,0.34,-1.22,2
0.34,-3.21,20.49,2.05,0.88,1.12,-1.59,2.63,-19.61,-0.24,-0.24,0.05,9.48,-12.73,13.8,-1.27,0.39,-1.17,2
0.36,-3.22,21.22,-0.29,-0.44,2.25,-1.63,2.68,-19.55,-0.34,-0.29,0.0,9.49,-12.75,13.8,-1.27,0.39,-1.22,2
0.24,-3.8,21.07,-1.66,-1.22,4.2,-1.59,2.65,-19.55,-0.24,-0.34,0.0,9.48,-12.73,13.84,-1.27,0.44,-1.22,2
0.2,-4.3,21.04,1.61,-1.22,-0.29,-1.6,2.65,-19.6,-0.0,-0.29,0.05,9.48,-12.76,13.82,-1.27,0.29,-1.22,2
0.32,-3.42,21.3,-1.03,-2.78,1.07,-1.61,2.68,-19.58,-0.1,-0.29,0.05,9.48,-12.73,13.84,-1.22,0.44,-1.22,2
0.29,-3.96,20.87,-0.44,-0.68,-0.73,-1.58,2.67,-19.59,-0.1,-0.29,0.0,9.49,-12.74,13.85,-1.32,0.39,-1.22,2
-2.51,-8.49,-36.08,75.93,352.54,-97.51,-1.6,2.67,-19.53,0.1,-0.39,0.05,9.47,-12.76,13.86,-1.27,0.39,-1.27,3
-19.17,-1.64,1.13,-19.73,-139.89,-30.08,-1.6,2.64,-19.57,0.68,-0.24,0.0,9.41,-12.7,13.82,-1.32,0.44,-1.32,3
-18.78,-1.66,2.61,-21.73,-191.36,-41.94,-1.58,2.61,-19.64,0.63,-0.24,0.05,9.45,-12.72,13.89,-1.32,0.34,-1.17,3
-12.86,-7.42,12.95,49.17,-240.58,-34.13,-1.63,2.66,-19.55,-0.29,-0.34,0.0,9.46,-12.79,13.8,-1.27,0.39,-1.27,3
-4.23,-2.38,29.46,54.49,-150.24,-9.47,-1.6,2.64,-19.56,-0.78,-0.34,0.0,9.42,-12.73,13.84,-1.22,0.39,-1.22,3
-2.7,-1.73,24.12,-15.92,-33.01,-2.49,-1.61,2.67,-19.6,0.05,-0.29,0.0,9.47,-12.76,13.77,-1.32,0.44,-1.27,3
-2.51,-2.96,22.46,-7.37,-16.26,-1.56,-1.63,2.69,-19.55,0.15,-0.29,0.05,9.47,-12.75,13.81,-1.32,0.49,-1.32,3
-1.49,-2.01,21.34,-3.66,-15.58,-4.05,-1.59,2.63,-19.59,0.05,-0.39,0.0,9.45,-12.74,13.78,-1.22,0.44,-1.27,3
-1.22,-2.94,21.86,-4.1,-1.76,-0.54,-1.66,2.67,-19.58,0.1,-0.29,0.0,9.48,-12.74,13.8,-1.32,0.34,-1.22,3
-1.43,-3.1,21.55,0.1,-2.59,2.1,-1.63,2.64,-19.56,-0.1,-0.34,0.0,9.47,-12.73,13.74,-1.22,0.29,-1.32,3
-0.91,-1.82,21.54,-0.78,-5.42,-0.83,-1.6,2.64,-19.58,0.05,-0.29,0.05,9.47,-12.77,13.78,-1.22,0.39,-1.12,3
-1.22,-2.89,20.9,1.95,0.54,-0.2,-1.61,2.63,-19.57,-0.0,-0.39,0.0,9.42,-12.72,13.76,-1.27,0.39,-1.17,3
-1.05,-2.48,21.02,-0.83,-1.86,1.17,-1.61,2.65,-19.53,-0.49,-0.34,0.05,9.44,-12.75,13.79,-1.37,0.44,-1.46,3
-1.06,-2.87,21.37,-1.22,-2.29,0.44,-1.59,2.68,-19.6,-0.63,-0.2,0.05,9.46,-12.76,13.78,-1.32,0.44,-1.17,3
-1.11,-2.59,21.13,1.61,0.29,2.05,-1.59,2.63,-19.53,-0.49,-0.29,0.0,9.45,-12.73,13.82,-1.22,0.29,-1.07,3
-0.9,-2.68,21.52,-1.71,-1.42,-0.05,-1.63,2.69,-19.63,-0.39,-0.29,-0.05,9.47,-12.74,13.76,-1.27,0.39,-1.17,3
-1.34,-3.24,21.37,0.59,-2.59,-1.03,-1.59,2.67,-19.6,0.05,-0.34,0.0,9.45,-12.7,13.81,-1.27,0.39,-1.37,3
-1.12,-2.83,21.14,1.22,-2.69,0.88,-1.59,2.65,-19.54,-0.1,-0.34,0.05,9.49,-12.75,13.8,-1.27,0.34,-1.17,3
-0.67,-2.43,21.21,0.83,-2.0,1.61,-1.56,2.65,-19.52,-0.0,-0.29,0.05,9.48,-12.73,13.82,-1.27,0.39,-1.27,3
-0.84,-2.96,21.36,1.07,-1.12,1.37,-1.6,2.66,-19.64,-0.93,-0.39,0.0,9.19,-12.71,13.82,-1.22,0.29,-1.22,3
-10.88,5.4,-16.53,0.63,-88.92,71.48,-1.63,2.64,-19.59,-0.05,-0.34,0.0,9.47,-12.75,13.81,-1.22,0.39,-1.22,4
-17.08,1.67,-6.89,-11.82,-172.85,-33.2,-1.63,2.61,-19.55,-0.39,-0.34,0.1,9.45,-12.73,13.82,-1.32,0.39,-1.22,4
-13.18,-0.68,5.47,40.38,-210.64,-52.2,-1.61,2.68,-19.6,-0.78,-0.29,0.0,9.43,-12.72,13.8,-1.27,0.39,-1.27,4
-4.49,-3.59,25.33,62.7,-208.74,-42.53,-1.62,2.66,-19.52,-0.49,-0.24,0.05,9.48,-12.74,13.82,-1.32,0.34,-1.22,4
-0.46,-2.89,27.63,9.18,-55.91,-10.74,-1.61,2.67,-19.57,0.54,-0.24,0.05,9.48,-12.73,13.84,-1.27,0.39,-1.27,4
-0.97,-0.24,20.94,-0.44,-2.78,3.86,-1.62,2.63,-19.63,0.54,-0.34,0.0,9.5,-12.74,13.82,-1.17,0.39,-1.22,4
-0.91,-1.4,21.37,-9.86,-3.52,-0.54,-1.61,2.64,-19.57,-0.0,-0.24,0.0,9.46,-12.73,13.82,-1.22,0.39,-1.27,4
